Crop,Variety,Harvest Stage,Yield,Planned Pick,Ordered Amount
Amaranth (Vegetable),,Full-Size,109.33 bn,,
Amaranth (Vegetable),Generic Variety,Full-Size,109.33 bn,,
Anise Hyssop,,Full-Size,153.00 bn,,
Anise Hyssop,אזוב מצוי,Full-Size,153.00 bn,,
Arugula,,Baby Leaf,94.90 kg,,
Arugula,Arugula,Baby Leaf,70.00 kg,,
Arugula,Wild Rocket,Baby Leaf,24.90 kg,,
Basil,,Full-Size,66.78 bn,,
Basil,Generic Variety,Full-Size,16.00 bn,,
Basil,Genovese,Full-Size,50.78 bn,,
Beans: Bush & Pole,,Fresh,12.70 kg,,
Beans: Bush & Pole,1500 Year Old Cave,Fresh,3.00 kg,,
Beans: Bush & Pole,California Black Eyed,Fresh,6.70 kg,,
Beans: Bush & Pole,Dwarf bean wonder of Piedmont,Fresh,1.00 kg,,
Beans: Bush & Pole,Thai Soldier,Fresh,2.00 kg,,
Beans: Fava,,Fresh Shelling,43.00 kg,,
Beans: Fava,Generic Variety,Fresh Shelling,43.00 kg,,
Beets,,Baby Leaf Greens,74.75 kg,,
Beets,MIX עלי ביבי,Baby Leaf Greens,74.75 kg,,
Beets,,Full-Size Root,201.00 bn,,
Beets,Boldor,Full-Size Root,53.00 bn,,
Beets,Chioggia Guardsmark,Full-Size Root,53.20 bn,,
Beets,Generic Variety,Full-Size Root,78.80 bn,,
Beets,Ruby Queen,Full-Size Root,16.00 bn,,
Broccoli,,Head,33.50 kg,,
Broccoli,Generic Variety,Head,33.50 kg,,
Cabbage,,Full-Size,124.80 kg,,
Cabbage,Generic Variety,Full-Size,97.00 kg,,
Cabbage,ירוק,Full-Size,27.80 kg,,
Carrots,,Full-Size,234.25 bn,,
Carrots,Mix - מעורב צבעוני,Full-Size,27.50 bn,,
Carrots,Nantes Half Long,Full-Size,206.75 bn,,
Cauliflower,,Full-Size,18.00 kg,,
Cauliflower,Generic Variety,Full-Size,18.00 kg,,
Celeriac,,,115.00 ea,,
Celeriac,Generic Variety,,115.00 ea,,
Celery,,Full-Size,132.00 ea,,
Celery,Generic Variety,Full-Size,132.00 ea,,
Chard,,Full-Size,254.90 bn,,
Chard,Bright Lights,Full-Size,72.90 bn,,
Chard,Fordhook Giant,Full-Size,182.00 bn,,
Chives,,Full-Size,82.00 bn,,
Chives,Generic Variety,Full-Size,82.00 bn,,
Cilantro,,Leaf,569.00 bn,,
Cilantro,Generic Variety,Leaf,193.00 bn,,
Cilantro,Santirini - נטע,Leaf,376.00 bn,,
Corn,,Standard,26.00 kg,,
Corn,Vanila,Standard,26.00 kg,,
Cress,,Full-Size,116.00 cs,,
Cress,Garden Broadleaf,Full-Size,116.00 cs,,
Cucumbers,,,66.50 kg,,
Cucumbers,Facus - פאקוס,,66.50 kg,,
Dill,,Full-Size,52.00 bn,,
Dill,Generic Variety,Full-Size,52.00 bn,,
Dill,,Leaf,146.00 bn,,
Dill,Generic Variety,Leaf,146.00 bn,,
Eggplant,,,127.00 kg,,
Eggplant,Generic Variety,,1.00 kg,,
Eggplant,Little Sailor,,32.50 kg,,
Eggplant,Meatball,,93.50 kg,,
Fennel,,Full-Size,79.80 kg,,
Fennel,Generic Variety,Full-Size,79.80 kg,,
Garlic,,Bulb,95.00 kg,,
Garlic,שני - מהגינה,Bulb,95.00 kg,,
Gourds,,,10.50 kg,,
Gourds,Generic Variety,,10.50 kg,,
Jicama,,,12.00 kg,,
Jicama,Generic Variety,,12.00 kg,,
Kale,,Baby Leaf,18.00 kg,,
Kale,Red Russian,Baby Leaf,18.00 kg,,
Kale,,Full-Size,283.00 bn,,
Kale,Lacinato (Dinosaur),Full-Size,196.00 bn,,
Kale,Red Russian,Full-Size,33.00 bn,,
Kale,גומן,Full-Size,54.00 bn,,
Kohlrabi,,Full-Size,102.90 kg,,
Kohlrabi,Generic Variety,Full-Size,86.50 kg,,
Kohlrabi,קרף - נטע,Full-Size,16.40 kg,,
Leeks,,,142.50 bn,,
Leeks,Generic Variety,,142.50 bn,,
Lettuce,,Full-Size,"1,121.00 hd",,
Lettuce,Firecracker,Full-Size,32.00 hd,,
Lettuce,Generic Variety,Full-Size,505.00 hd,,
Lettuce,מסולסלת מעורב,Full-Size,334.00 hd,,
Lettuce,ערבית - רם שחר,Full-Size,250.00 hd,,
Lettuce: Salad Mix,,Full-Size,196.65 kg,,
Lettuce: Salad Mix,Encore Lettuce Mix,Full-Size,6.00 kg,,
Lettuce: Salad Mix,Generic Variety,Full-Size,18.00 kg,,
Lettuce: Salad Mix,Mesclun Mix,Full-Size,68.40 kg,,
Lettuce: Salad Mix,Salanova® Foundation Collection,Full-Size,6.10 kg,,
Lettuce: Salad Mix,Sativa L. 1836,Full-Size,21.00 kg,,
Lettuce: Salad Mix,"מיקס שלנו, דמוי בן שחר",Full-Size,77.15 kg,,
Melons,,,99.70 kg,,
Melons,Hustan - הוסטאן,,99.70 kg,,
Mizuna,,Baby Leaf,41.40 kg,,
Mizuna,Generic Variety,Baby Leaf,41.40 kg,,
Mustard,,Full-Size,13.00 kg,,
Mustard,Generic Variety,Full-Size,1.00 kg,,
Mustard,Red Giant,Full-Size,12.00 kg,,
New Zealand Spinach,,,115.20 kg,,
New Zealand Spinach,Generic Variety,,115.20 kg,,
Okra,,,5.00 kg,,
Okra,Generic Variety,,5.00 kg,,
Onions: Scallions,,Full-Size,280.00 bn,,
Onions: Scallions,Generic Variety,Full-Size,280.00 bn,,
Pac Choi (Bok Choy),,Full-Size,90.00 hd,,
Pac Choi (Bok Choy),Generic Variety,Full-Size,90.00 hd,,
Parsley,,Full-Size,781.00 bn,,
Parsley,Generic Variety,Full-Size,416.00 bn,,
Parsley,Green Perle - מסולסלת,Full-Size,329.00 bn,,
Parsley,Italian Flat,Full-Size,36.00 bn,,
Parsley Root,,,269.00 bn,,
Parsley Root,Generic Variety,,269.00 bn,,
Peas,,Full-Size,46.00 kg,,
Peas,Kelvedon Wonder,Full-Size,5.50 kg,,
Peas,Tall Telephone,Full-Size,40.50 kg,,
Peppers,,Early,28.50 kg,,
Peppers,Cornito Rosso,Early,27.50 kg,,
Peppers,Padron,Early,1.00 kg,,
Peppers,,Ripe,23.50 kg,,
Peppers,Cornito Rosso,Ripe,13.00 kg,,
Peppers,Thai Red Chili,Ripe,10.50 kg,,
Radishes,,Full-Size,218.00 bn,,
Radishes,Daikon Long,Full-Size,50.75 bn,,
Radishes,French Breakfast,Full-Size,118.00 bn,,
Radishes,Nero Tondo,Full-Size,44.25 bn,,
Radishes,נטע אדומה,Full-Size,5.00 bn,,
Sage,,,51.00 bn,,
Sage,Common,,49.00 bn,,
Sage,Generic Variety,,2.00 bn,,
Sorrel,,Baby Leaf,0.50 kg,,
Sorrel,Red Veined,Baby Leaf,0.50 kg,,
Spinach,,Full-Size,126.00 bn,,
