Category,Family Name,Crop,Crop Type,Variety,Planting Method,Harvest Stage,GH Sow Date,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Days In Greenhouse,Field Sowing Planting Date,DTM,Harvest Window,First Harvest,Last Harvest,Planting Amount,Location,In-Row Spacing,In-Row Spacing Unit,Rows Per Bed,# Of Flats,Flat/pot type,Seeds per cell,Estimated loss,Total Transplants,Total Seed Needed,Average seed weight,Average seed weight unit,Total Weight Needed,Total Weight Needed Unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Harvest Unit,Avg Yield Rate,Avg. Sales Price,Est. Yield,Est. Revenue,Est. Rev./unit,Growing Cycle,Rootstock,Harvest Season,First Fruiting Year,Between row spacing,Notes,Seeder,Front gear,Rear gear,Roller plate
Vegetables,Amaranthaceae,Amaranth (Vegetable),Amaranth (Vegetable),Generic Variety,Greenhouse Sow,Full-Size,20/02/2019,,,,,,,68,29/04/2019,,103,30/05/2019,10/09/2019,12 bed m,"Home,HH,Block C,Beds 18",30.0,cm,4,0.0,,,0,160,2500,500,seeds/g,5.00,g,0.00,Organic,,,,,,,,,,Bunches,4.000 bn/row m,₪5.00/bn,192.0 Bunches,₪960.00,₪20.00/row m,Annual,,,,,,,,,
Herbs,Lamiaceae,Anise Hyssop,Anise Hyssop,אזוב מצוי,Transplant from Purchased,Full-Size,,,,,,,,,17/07/2018,,183,01/04/2019,01/10/2019,4 bed m,"Ramim,Ra.1,Block L1,Beds 109",30.0,cm,2,,,,0,26.67,27,400,seeds/g,0.07,g,0.00,,,,,,,,,,,Bunches,5.000 bn/row m,₪5.00/bn,40.0 Bunches,₪200.00,₪25.00/row m,Annual,,,,,,,,,
Herbs,Lamiaceae,Anise Hyssop,Anise Hyssop,אזוב מצוי,Transplant from Purchased,Full-Size,,,,,,,,,17/07/2018,,360,01/09/2018,27/08/2019,4 bed m,"Home,HH,Block A,Beds 4",30.0,cm,2,,,,0,26.67,27,400,seeds/g,0.07,g,0.00,,,,,,,,,,,Bunches,20.000 bn/row m,₪5.00/bn,160.0 Bunches,₪800.00,₪100.00/row m,Perennial,,,,,,,,,
Vegetables,Asteraceae,Artichokes,Artichokes,Generic Variety,Transplant from Purchased,,,,,,,,,,30/10/2018,,35,26/08/2019,30/09/2019,12 bed m,,100.0,cm,1,,,,0,12,12,19,seeds/g,0.63,g,0.00,,,,,,,,,,,Kilograms,2.000 kg/row m,₪20.00/kg,24.0 Kilograms,₪480.00,₪40.00/row m,Biennial,,,,,,,,,
Vegetables,Asteraceae,Artichokes,Artichokes,גבע - דור 2,Greenhouse Sow,,23/09/2019,,,,,,,,14/11/2019,,90,04/05/2020,02/08/2020,36 bed m,"Home,HH,Block A,Beds 5-6,Block B,Beds 7",60.0,cm,2,0.49,128 cell flats,2,30,62,125,19,seeds/g,6.58,g,0.00,,,,,,,,,,,Kilograms,2.000 kg/row m,₪20.00/kg,144.0 Kilograms,"₪2,880.00",₪40.00/row m,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,13/11/2018,,0,09/03/2019,09/03/2019,6 bed m,"Ramim,Ra.1,Block L6m,Beds 103",1.0,cm,6,,,,,,3960,3828,seeds/g,1.03,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,5.4 Kilograms,₪288.00,₪8.00/row m,Annual,,,,,,Jang JP-1,13,10,YYJ-24
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,13/01/2019,,108,04/04/2019,21/07/2019,6 bed m,"Ramim,Ra.2,Block C6m,Beds 208",1.0,cm,6,,,,,,3961,3828,seeds/g,1.03,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,5.4 Kilograms,₪288.00,₪8.00/row m,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,03/04/2019,,80,13/05/2019,01/08/2019,6 bed m,"Ramim,Ra.1,Block L6m,Beds 102",1.0,cm,8,,,,,,5280,3828,seeds/g,1.38,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,7.2 Kilograms,₪384.00,₪8.00/row m,Annual,,,,,,Jang JP-1,13,10,YYJ-24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,06/05/2019,,80,30/05/2019,18/08/2019,6 bed m,"Home,HH,Block C,Beds 15",1.0,cm,6,,,,,,3960,3828,seeds/g,1.03,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,5.4 Kilograms,₪288.00,₪8.00/row m,Annual,,,,,זרעים איטליה,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,04/06/2019,,49,04/07/2019,22/08/2019,6 bed m,"Ramim,Ra.1,Block L2,Beds 132",0.5,cm,8,,,,,,10560,3828,seeds/g,2.76,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,7.2 Kilograms,₪384.00,₪8.00/row m,Annual,,,,,,,,,
