Site Name,Field Name,Field Name Version,Block Name,Bed Number,Bed Length,1st Rotation Planting Name,1st Rotation Crop,1st Rotation Start Date,1st Rotation End Date,2nd Rotation Planting Name,2nd Rotation Crop,2nd Rotation Start Date,2nd Rotation End Date,3rd Rotation Planting Name,3rd Rotation Crop,3rd Rotation Start Date,3rd Rotation End Date,4th Rotation Planting Name,4th Rotation Crop,4th Rotation Start Date,4th Rotation End Date,5th Rotation Planting Name,5th Rotation Crop,5th Rotation Start Date,5th Rotation End Date,6th Rotation Planting Name,6th Rotation Crop,6th Rotation Start Date,6th Rotation End Date,7th Rotation Planting Name,7th Rotation Crop,7th Rotation Start Date,7th Rotation End Date,8th Rotation Planting Name,8th Rotation Crop,8th Rotation Start Date,8th Rotation End Date,9th Rotation Planting Name,9th Rotation Crop,9th Rotation Start Date,9th Rotation End Date,10th Rotation Planting Name,10th Rotation Crop,10th Rotation Start Date,10th Rotation End Date,11th Rotation Planting Name,11th Rotation Crop,11th Rotation Start Date,11th Rotation End Date,12th Rotation Planting Name,12th Rotation Crop,12th Rotation Start Date,12th Rotation End Date,13th Rotation Planting Name,13th Rotation Crop,13th Rotation Start Date,13th Rotation End Date
Home,HH,,A,1,,"Jerusalem Artichokes, Generic Variety",Jerusalem Artichokes,04/12/2019,01/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,2,,"Jerusalem Artichokes, Generic Variety",Jerusalem Artichokes,04/12/2019,01/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,3,,"Jerusalem Artichokes, Generic Variety",Jerusalem Artichokes,04/12/2019,01/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,4,,"Sage, Generic Variety",Sage,17/07/2018,05/03/2019,"Anise Hyssop, אזוב מצוי, Full-Size",Anise Hyssop,17/07/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,5,,"Kale, Lacinato (Dinosaur), Full-Size",Kale,05/07/2018,23/05/2019,"Chard, Fordhook Giant, Full-Size",Chard,01/11/2018,23/05/2019,"Kale, Lacinato (Dinosaur), Full-Size",Kale,15/04/2019,11/10/2019,"Chard, Fordhook Giant, Full-Size",Chard,01/08/2019,08/10/2019,"Chard, Generic Variety, Full-Size",Chard,26/08/2019,10/11/2019,"Artichokes, גבע - דור 2",Artichokes,23/09/2019,02/08/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,6,,"Kale, Lacinato (Dinosaur), Full-Size",Kale,18/01/2018,09/08/2019,"Kale, Lacinato (Dinosaur), Full-Size",Kale,01/11/2018,08/08/2019,"Artichokes, גבע - דור 2",Artichokes,23/09/2019,02/08/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,7,,"Kale, Lacinato (Dinosaur), Full-Size",Kale,19/08/2018,20/05/2019,"Chard, Fordhook Giant, Full-Size",Chard,21/08/2018,20/05/2019,"Artichokes, גבע - דור 2",Artichokes,23/09/2019,02/08/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,8,,"Onions: Scallions, Generic Variety, Full-Size",Onions: Scallions,20/03/2019,22/07/2019,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,06/11/2019,03/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,9,,"Garlic, Hardneck, שני - מהגינה, Bulb",Garlic,23/09/2018,08/04/2019,"Winter Squash, Table Queen",Winter Squash,20/03/2019,19/07/2019,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,06/11/2019,03/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,10,,"Garlic, Hardneck, שני - מהגינה, Bulb",Garlic,23/09/2018,08/04/2019,"Carrots, Nantes Half Long, Full-Size",Carrots,10/04/2019,13/08/2019,"Lettuce, Romaine, Generic Variety, Full-Size",Lettuce,01/08/2019,16/10/2019,"Lettuce: Salad Mix, Salanova® Foundation Collection, Full-Size",Lettuce: Salad Mix,17/10/2019,05/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,11,,"Garlic, Hardneck, שני - מהגינה, Bulb",Garlic,23/09/2018,08/04/2019,"Kale, Red Russian, Full-Size",Kale,20/03/2019,12/08/2019,"Kale, Lacinato (Dinosaur), Full-Size",Kale,12/08/2019,07/10/2019,"Arugula, Wild Rocket, Baby Leaf",Arugula,13/10/2019,30/01/2020,"Arugula, Arugula, Baby Leaf",Arugula,13/10/2019,03/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,12,,"Garlic, Hardneck, שני - מהגינה, Bulb",Garlic,23/09/2018,08/04/2019,"Chard, Bright Lights, Full-Size",Chard,24/02/2019,13/07/2019,"Chard, Bright Lights, Full-Size",Chard,26/06/2019,30/09/2019,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,13/10/2019,16/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
