Date,Category,Input,Crop,Location,Labor Cost,Input Cost,Total Cost,Description/Manufacturer,OMRI,Application Rate Amount,Application Rate Amount Units,Application Rate Amount Area,Total Cost For Amount,Total Cost For Amount Unit,Seeds Variety,Seeds Organic Treatment,Seeds Seed Company
10/10/2020,Labor,,,"Home,HH,Ramim,Ra.1,Ra.2,Ra.3,Ra.4,side,zvika,Zvika","₪17,200.00",,"₪17,200.00",,,,,,,,,,
10/09/2020,Labor,,,"Home,HH,Ramim,Ra.1,Ra.2,Ra.3,Ra.4,side,zvika,Zvika","₪25,600.00",,"₪25,600.00",,,,,,,,,,
10/08/2020,Labor,,,,"₪20,000.00",,"₪20,000.00",,,,,,,,,,
30/07/2020,Transplants,משתלת שחר,"Basil,Cilantro,Leeks,Lettuce",,,₪250.00,₪250.00,,No,,,,₪250.00,,,,
23/07/2020,Transplants,משתלת שחר,"Celery,Lemon Verbena,Lovage,Mint,Oregano,Thyme",,,₪250.00,₪250.00,,No,,,,₪250.00,,,,
23/07/2020,Transplants,בדרך הטבע,"Basil,Kohlrabi,Lettuce",,,₪401.00,₪401.00,,Yes,,,,₪401.00,,,,
10/07/2020,Labor,,,"Home,HH,Ramim,Ra.1,Ra.2,Ra.3,Ra.4,side","₪13,000.00",,"₪13,000.00",,,,,,,,,,
07/07/2020,Transplants,בדרך הטבע,"Dill,Kohlrabi,Spinach",,,₪401.00,₪401.00,,Yes,,,,₪401.00,,,,
01/07/2020,Seeds,,"Basil,Beets,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Chard,Chives,Cilantro,Cress,Dill,Fennel,Kale,Kohlrabi,Leeks,Lettuce,Lettuce: Salad Mix,Mizuna,Mustard,New Zealand Spinach,Onions: Scallions,Pac Choi (Bok Choy),Parsley,Parsley Root,Peas,Radishes,Sorrel,Spinach,Tatsoi,Turnips",,,"₪3,546.13","₪3,546.13",,,,,,"₪3,546.13",,,Organic,נטע
25/06/2020,Transplants,משתלת שחר,"Cilantro,Parsley",,,₪250.00,₪250.00,,No,,,,₪250.00,,,,
10/06/2020,Labor,,,"Home,HH,Ramim,Ra.1,Ra.2,Ra.3,Ra.4,side","₪10,115.00",,"₪10,115.00",,,,,,,,,,
08/06/2020,Trellising,ברזל,Beans: Bush & Pole,,,₪255.00,₪255.00,ברזל בניין להדלייה,,,,,₪255.00,,,,
07/06/2020,Transplants,משתלת שחר,"Leeks,Lettuce",,,₪432.00,₪432.00,,No,,,,₪432.00,,,,
04/06/2020,ציוד וכלים,ציוד כללי,,"zvika,Zvika",,"₪8,000.00","₪8,000.00",ראש מערכת ותשתית השקייה,,,,,"₪8,000.00",,,,
31/05/2020,Fertilizers & Amendments,קומפוסט,,"Ramim,Ra.1,Ra.2,Ra.3,Ra.4,side",,"₪3,100.00","₪3,100.00",יוחאי,Yes,7.0,Liters,sq. m,"₪3,100.00",3000.00 Liters,,,
31/05/2020,Fertilizers & Amendments,קומפוסט,,"zvika,Zvika",,"₪6,000.00","₪6,000.00",יוחאי,Yes,7.0,Liters,sq. m,"₪6,000.00",6000.00 Liters,,,
10/05/2020,Labor,,,,"₪9,975.00",,"₪9,975.00",,,,,,,,,,
10/04/2020,Labor,,,,"₪19,000.00",,"₪19,000.00",,,,,,,,,,
27/03/2020,Transplants,משתלת שחר,Lettuce,,,₪150.00,₪150.00,,No,,,,₪150.00,,,,
19/03/2020,Transplants,משתלת שחר,"Basil,Parsley",,,₪670.00,₪670.00,,No,,,,₪670.00,,,,
10/03/2020,Labor,,,,"₪19,600.00",,"₪19,600.00",,,,,,,,,,
01/03/2020,Fertilizers & Amendments,פרפקט בלנד 4-4-4,,,,₪250.00,₪250.00,ירוק משתלה אורגנית - מתן הגנן,Yes,18.0,Liters,,₪250.00,18.00 Liters,,,
22/02/2020,Irrigation,ציוד השקייה,,"Ramim,Ra.4",,"₪1,100.00","₪1,100.00",ציוד השקייה לערןגות חדשות,,,,,"₪1,100.00",,,,
13/02/2020,Transplants,משתלת שחר,"Kale,Leeks,Parsley,Winter Squash",,,₪670.00,₪670.00,,No,,,,₪670.00,,,,
11/02/2020,Seeds,,"Arugula,Basil,Beans: Bush & Pole,Beets,Cilantro,Lettuce: Salad Mix,New Zealand Spinach,Parsley,Radishes,Summer Squash,Winter Squash",,,"₪2,933.00","₪2,933.00",זרעים לעומת הקייץ,,,,,"₪2,933.00",,,Untreated,נטע
10/02/2020,Labor,,,"Home,HH,Ramim,Ra.1,Ra.2,Ra.3,Ra.4","₪10,700.00",,"₪10,700.00",שעות עבודה ינואר - תשלום בפברואר,,,,,,,,,
06/02/2020,Fertilizers & Amendments,תערובת שתילה,,,,₪181.00,₪181.00,הגרעין,Yes,240.0,Liters,,₪181.00,0.00 Liters,,,
06/02/2020,Irrigation,ציוד השקייה,,"Ramim,Ra.4",,₪36.00,₪36.00,,,,,,₪36.00,,,,
24/01/2020,ציוד וכלים,ציוד כללי,,,,₪400.00,₪400.00,תיקון משור,,,,,₪400.00,,,,
13/01/2020,Transplants,משתלת שחר,"Beets,Kohlrabi,Pac Choi (Bok Choy),Parsley",,,₪650.00,₪650.00,,No,,,,₪650.00,,,,
