Site Name,Field Name,Field Name Version,Block Name,Bed Number,Bed Length,1st Rotation Planting Name,1st Rotation Crop,1st Rotation Start Date,1st Rotation End Date,2nd Rotation Planting Name,2nd Rotation Crop,2nd Rotation Start Date,2nd Rotation End Date,3rd Rotation Planting Name,3rd Rotation Crop,3rd Rotation Start Date,3rd Rotation End Date,4th Rotation Planting Name,4th Rotation Crop,4th Rotation Start Date,4th Rotation End Date,5th Rotation Planting Name,5th Rotation Crop,5th Rotation Start Date,5th Rotation End Date,6th Rotation Planting Name,6th Rotation Crop,6th Rotation Start Date,6th Rotation End Date,7th Rotation Planting Name,7th Rotation Crop,7th Rotation Start Date,7th Rotation End Date,8th Rotation Planting Name,8th Rotation Crop,8th Rotation Start Date,8th Rotation End Date,9th Rotation Planting Name,9th Rotation Crop,9th Rotation Start Date,9th Rotation End Date,10th Rotation Planting Name,10th Rotation Crop,10th Rotation Start Date,10th Rotation End Date
Home,HH,,A,1,,"Jerusalem Artichokes, Generic Variety",Jerusalem Artichokes,04/12/2019,01/07/2021,"Lettuce, Romaine, hyd. ערבית - נהורה נטע, Full-Size",Lettuce,25/03/2020,17/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,2,,"Jerusalem Artichokes, Generic Variety",Jerusalem Artichokes,04/12/2019,01/07/2021,"Lettuce, Romaine, hyd. ערבית - נהורה נטע, Full-Size",Lettuce,25/03/2020,17/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,3,,"Jerusalem Artichokes, Generic Variety",Jerusalem Artichokes,04/12/2019,01/07/2021,"Lettuce, Romaine, hyd. ערבית - נהורה נטע, Full-Size",Lettuce,25/03/2020,17/06/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,4,,"Anise Hyssop, אזוב מצוי, Full-Size",Anise Hyssop,17/07/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,5,,"Artichokes, גבע - דור 2",Artichokes,23/09/2019,02/08/2020,"Radishes, צנון אדום - נטע, Full-Size",Radishes,07/10/2020,24/12/2020,"Peas, Snow, ורדה, Full-Size",Peas,02/12/2020,15/04/2021,"Peas, Snap, Yellow Sugar, Full-Size",Peas,02/12/2020,18/03/2021,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,6,,"Artichokes, גבע - דור 2",Artichokes,23/09/2019,02/08/2020,"Radishes, צנון לבן z1015, Full-Size",Radishes,07/10/2020,24/12/2020,"Peas, Snap, Yellow Sugar, Full-Size",Peas,02/12/2020,18/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,7,,"Artichokes, גבע - דור 2",Artichokes,23/09/2019,02/08/2020,"Peas, Snow, ורדה, Full-Size",Peas,02/12/2020,15/04/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,8,,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,06/11/2019,03/02/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,09/02/2020,14/05/2020,"Radishes, נטע אדומה, Full-Size",Radishes,12/03/2020,27/04/2020,"Onions: Scallions, אלדורדו, Full-Size",Onions: Scallions,04/05/2020,22/08/2020,"Radishes, נטע אדומה, Full-Size",Radishes,07/05/2020,27/06/2020,"Beans: Bush & Pole, Pole, Blauhilde, Fresh",Beans: Bush & Pole,07/05/2020,10/08/2020,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,06/08/2020,30/12/2020,"Radishes, Nero Tondo, Full-Size",Radishes,31/12/2020,26/02/2021,"Radishes, Daikon Long, Full-Size",Radishes,31/12/2020,28/02/2021,,,,
Home,HH,,B,9,,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,06/11/2019,03/02/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,09/02/2020,14/05/2020,"Arugula, Arugula, Baby Leaf",Arugula,12/03/2020,25/05/2020,"Lemon Verbena, Generic Variety",Lemon Verbena,21/04/2020,16/12/2020,"Thyme, Generic Variety, Full-Size",Thyme,25/05/2020,16/12/2020,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,10,,"Lettuce: Salad Mix, Salanova® Foundation Collection, Full-Size",Lettuce: Salad Mix,17/10/2019,05/01/2020,"Arugula, Arugula, Baby Leaf",Arugula,06/01/2020,30/03/2020,"Arugula, Arugula, Baby Leaf",Arugula,02/04/2020,10/06/2020,"Turmeric, Elad",Turmeric,25/05/2020,02/11/2021,"Radishes, Daikon Long, Full-Size",Radishes,23/11/2020,26/04/2021,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,11,,"Arugula, Wild Rocket, Baby Leaf",Arugula,13/10/2019,30/01/2020,"Arugula, Arugula, Baby Leaf",Arugula,13/10/2019,03/02/2020,"Lettuce: Salad Mix, Ricciolina  Da Taglio, Full-Size",Lettuce: Salad Mix,09/02/2020,20/05/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,12/03/2020,25/05/2020,"Turmeric, Elad",Turmeric,25/05/2020,02/11/2021,"Peas, Snap, Sugar Snap, Full-Size",Peas,09/12/2020,18/03/2021,,,,,,,,,,,,,,,,
Home,HH,,B,12,,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,13/10/2019,16/01/2020,"Arugula, Arugula, Baby Leaf",Arugula,25/02/2020,08/05/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,12/03/2020,25/05/2020,"Turmeric, Elad",Turmeric,25/05/2020,02/11/2021,"Peas, Snow, Generic Variety, Full-Size",Peas,30/11/2020,18/03/2021,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,13,,"Lettuce: Salad Mix, Salanova® Foundation Collection, Full-Size",Lettuce: Salad Mix,05/10/2019,16/01/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,22/01/2020,30/03/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,02/04/2020,25/05/2020,"Peppers, Mild, Padron, Early",Peppers,13/04/2020,29/09/2020,"Peppers, Hot, לפיד, Early",Peppers,17/05/2020,10/09/2020,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,02/09/2020,25/08/2021,,,,,,,,,,,,,,,,
Home,HH,,C,14,,"Arugula, Arugula, Baby Leaf",Arugula,30/10/2019,06/01/2020,"Cress, Watercress, Full-Size",Cress,28/11/2019,10/02/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,06/01/2020,30/03/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,02/04/2020,25/05/2020,"Kale, White Russian, Full-Size",Kale,13/04/2020,01/10/2020,"Kale, Lacinato (Dinosaur), Full-Size",Kale,14/09/2020,03/12/2020,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,02/12/2020,03/08/2021,,,,,,,,,,,,
Home,HH,,C,15,,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,02/10/2019,06/01/2020,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,06/01/2020,30/03/2020,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,26/02/2020,29/09/2020,"Kale, Lacinato (Dinosaur), Full-Size",Kale,14/09/2020,03/12/2020,"Lettuce, Butterhead, מסולסלת מעורב, Full-Size",Lettuce,25/11/2020,05/04/2021,"Peas, Snap, Yellow Sugar, Full-Size",Peas,02/12/2020,18/03/2021,,,,,,,,,,,,,,,,
Home,HH,,C,16,,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,28/11/2019,09/03/2020,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,11/03/2020,29/09/2020,"Garlic, Hardneck, שני - מהגינה, Scapes",Garlic,08/10/2020,18/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,17,,"Lettuce: Salad Mix, Mesclun Mix, Full-Size",Lettuce: Salad Mix,28/10/2019,09/03/2020,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,11/03/2020,29/09/2020,"Garlic, Hardneck, שני - מהגינה, Scapes",Garlic,08/10/2020,18/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,18,,"Peas, Snow, Taccola gigante, Full-Size",Peas,06/01/2020,15/05/2020,"Winter Squash, Turkish Turban",Winter Squash,26/02/2020,05/07/2020,"Kale, Lacinato (Dinosaur), Full-Size",Kale,01/06/2020,06/10/2020,"Garlic, Hardneck, שני - מהגינה, Scapes",Garlic,08/10/2020,18/03/2021,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NE-4""(50)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NE-4""(50)",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NE-4""(50)",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NW-4""(50)",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NW-4""(50)",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SE-4""(40)",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SE-4""(40)",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SE-4""(40)",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SW-4""(50)",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SW-4""(50)",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. N,,NW,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SE,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,Hyd. S,,SW,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
