Date,Creator,Note,Plantings,Location
30/12/2021,Nimrod Wald,נזרע זן אדום של נטע - לבדוק איזה,,
15/12/2021,Nimrod Wald,"orchidea Rossa - חבילה חדשה
+ חסה יפאנית
+ מסולסלת ירוקה נטע",Lettuce in Hyd. N,
17/10/2021,Nimrod Wald,מברשת למעלה,Radishes in Ra.3,
08/10/2021,Nimrod Wald,נזרע חלק לבן איטלקי וחלק ירוק,,
08/10/2021,Nimrod Wald,נזרע שליש חסה חץ של זרעי מורשת - אם נשתל לפצל,Lettuce - Field not assigned,
04/10/2021,Nimrod Wald,17ג ,Radishes in Ra.3,
14/07/2021,Nimrod Wald,65 ג זרעים לערוגה,Lettuce: Salad Mix in Ra.3,
30/05/2021,Nimrod Wald,חצי רחוק של הערוגה,Peppers in Ra.2,
16/05/2021,Nimrod Wald,להקפיד על מברשת למטה בזריעה + המטרה טובה,,
16/05/2021,Nimrod Wald,להקפיד על מברשת למטה בזריעה + המטרה טובה,,
26/04/2021,Nimrod Wald,להקפיד על מברשת למטה בזריעה + המטרה טובה,Carrots in Ra.3,
26/04/2021,Nimrod Wald,לייצר מגוון זנים ולתעד היטב מה נזרע,"Lettuce - Field not assigned,Lettuce in Hyd. S",
26/04/2021,Nimrod Wald,להקפיד על מברשת למטה בזריעה + המטרה טובה,"Carrots in Ra.1,Carrots in Ra.3",
07/03/2021,Nimrod Wald,מה שמוצלח לגינה - השאר למכירה כשתילים,Tomatoes in Ra.1,
07/03/2021,Nimrod Wald,מה שמוצלח לגינה - השאר למכירה כשתילים,Tomatoes in Ra.1,
07/03/2021,Nimrod Wald,מה שמוצלח לגינה - השאר למכירה כשתילים,,
07/03/2021,Nimrod Wald,מה שמוצלח לגינה - השאר למכירה כשתילים,Tomatoes in Ra.1,
20/02/2021,Nimrod Wald,מה שמוצלח לגינה - השאר למכירה כשתילים,Tomatoes in Ra.1,
31/01/2021,Nimrod Wald,נזרע 16 יח,,
19/01/2021,Nimrod Wald,מה שמוצלח לגינה - השאר למכירה כשתילים,,
18/01/2021,Nimrod Wald,נזרע 16 יח,Winter Squash - Field not assigned,
18/01/2021,Nimrod Wald,נזרע זן נוסף - משנה שעברה - פחות עגול יותר פרח - עוד 24 זרעים,Winter Squash in Zvika,
18/01/2021,Nimrod Wald,נזרע 50 יח,Winter Squash in Zvika,
18/01/2021,Nimrod Wald,נזרע 16 יח,Winter Squash in Zvika,
18/01/2021,Nimrod Wald,נזרע 50 יח,Winter Squash in Zvika,
18/01/2021,Nimrod Wald,הוזמן מיניב,Tomatoes in Ra.1,
18/01/2021,Nimrod Wald,הוזמן מיניב,Summer Squash in Ra.4,
17/01/2021,Nimrod Wald,מגוון זנים,Winter Squash in Zvika,
11/01/2021,Nimrod Wald,מה שמוצלח לגינה - השאר למכירה כשתילים,,
11/01/2021,Nimrod Wald,מה שמוצלח לגינה - השאר למכירה כשתילים,,
11/01/2021,Nimrod Wald,מה שמוצלח לגינה - השאר למכירה כשתילים,,
11/01/2021,Nimrod Wald,מה שמוצלח לגינה - השאר למכירה כשתילים,Tomatoes in Ra.1,
11/01/2021,Nimrod Wald,מה שמוצלח לגינה - השאר למכירה כשתילים,,
11/01/2021,Nimrod Wald,מה שמוצלח לגינה - השאר למכירה כשתילים,,
11/01/2021,Nimrod Wald,מה שמוצלח לגינה - השאר למכירה כשתילים,Tomatoes in Ra.1,
