Pack List,Item,Pick date,Pick From,Outlets,Total Outlets Need,From Storage,Additional,Planned Pick,Actual Pick,Pick by Variety,Unit,Pick Instruction,Assignee,Labor Time (hr)
Thursday 30/12/2021,"בייבי - רוקט
Baby Leaf",30/12/2021,"Arugula, Arugula
Ra.3 > R1 > Bed 315
6 of 26",חנות הגינה: 10,10,0,0,10,14,,bn,,נטע ברוג,0
Thursday 30/12/2021,"כרוב
Full-Size",30/12/2021,"Cabbage, ירוק
Zvika > zA > Beds 512-513
1 of 8",חנות הגינה: 10,10,0,0,10,10,,kg,,נטע ברוג,0
Thursday 30/12/2021,כרישה,30/12/2021,"Leeks, hyd. Alto
Hyd. N > NW > Bed 11
4 of 5
Leeks, Alto
Ra.2 > C2 > Beds 221-222
5 of 5
Leeks, Alto
Zvika > zB > Beds 523-524
1 of 5",חנות הגינה: 12,12,0,0,12,12,,bn,,נטע ברוג,0
Thursday 30/12/2021,"מנגולד
Full-Size",30/12/2021,"Chard, מונופולי - ראש (שדה)
Ra.1 > L1 > Bed 116
2 of 14
Chard, מונופולי - ראש (שדה)
Ra.2 > C6m > Beds 205-206
3 of 14",חנות הגינה: 14,14,0,0,14,17,,bn,,נטע ברוג,0
Thursday 30/12/2021,"(חסה) סלנובה
Full-Size",30/12/2021,"Lettuce, hyd. סלנובה
Hyd. N > NE > Bed 2
22 of 68
Lettuce, hyd. סלנובה
Hyd. S > SE > Bed 19
19 of 68
Lettuce, hyd. סלנובה אדומה
Hyd. S > SE > Bed 19
18 of 68",חנות הגינה: 15,15,0,0,15,21,,cs,,נטע ברוג,0
Thursday 30/12/2021,"סלרי
Full-Size",30/12/2021,"Celery, hyd. Giant Dorato
Hyd. S > SW > Bed 27
2 of 12",חנות הגינה: 15,15,0,0,15,18,,bn,,נטע ברוג,0
Thursday 30/12/2021,"(ירק) בצל ירוק
Full-Size",30/12/2021,,חנות הגינה: 15,15,0,0,15,18,hyd. Aldorado: 18,bn,,נטע ברוג,0
Thursday 30/12/2021,"צנונית
Full-Size",30/12/2021,"Radishes, French Breakfast
Ra.1 > L1 > Bed 113
11 of 26
Radishes, French Breakfast
Ra.3 > R1 > Bed 311
13 of 26
Radishes, ice candle
Ra.3 > R1 > Bed 313
12 of 26
Radishes, French Breakfast
Ra.3 > R1 > Bed 313
10 of 26
Radishes, ice candle
Ra.3 > R2 > Bed 325
9 of 26
Radishes, AZ-506 sisi
Ra.3 > R2 > Bed 325
8 of 26",חנות הגינה: 15,15,0,0,15,24,,bn,"6 פרנץ
6 עגולה
3 לבנה",נטע ברוג,0
Thursday 30/12/2021,"תבלין - אזוב
Full-Size",30/12/2021,,חנות הגינה: 2,2,0,0,2,4,,bn,+ 2 טימין,נטע ברוג,0
Thursday 30/12/2021,תבלין - מרווה,30/12/2021,,חנות הגינה: 2,2,0,0,2,2,,bn,,נטע ברוג,0
Thursday 30/12/2021,"(חסה) רומית
Full-Size",30/12/2021,"Lettuce, hyd. רומית
Hyd. N > NE > Bed 1
20 of 68
Lettuce, hyd. רומית
Hyd. N > NE > Bed 1
17 of 68",חנות הגינה: 30,30,0,0,30,17,,hd,,נטע ברוג,0
Thursday 30/12/2021,"(ירק) פטרוזיליה
Full-Size",30/12/2021,"Parsley, hyd. Borjo
Hyd. N > NW > Bed 13
3 of 8
Parsley, hyd. Borjo
Hyd. N > NW > Bed 9
2 of 8
Parsley, בורג'ו - נטע
Ra.2 > C2 > Beds 225-228
11 of 11",חנות הגינה: 30,30,0,0,30,33,,bn,,נטע ברוג,0
Thursday 30/12/2021,"בייבי מיקס
Full-Size",30/12/2021,"Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R1 > Bed 314
4 of 38
Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R2 > Bed 320
7 of 38
Lettuce: Salad Mix, Mesclun Mix
Ra.3 > R2 > Bed 328
5 of 38",חנות הגינה: 30,30,0,0,30,30,,cs,,נטע ברוג,0
Thursday 30/12/2021,"(חסה) אייסברג
Full-Size",30/12/2021,"Lettuce, hyd. אייסברג
Hyd. N > NE > Bed 3
21 of 68
Lettuce, hyd. אייסברג
Hyd. S > SE > Bed 21
14 of 68",חנות הגינה: 5,5,0,0,5,9,,hd,,נטע ברוג,0
Thursday 30/12/2021,"בייבי נפרדים
Full-Size",30/12/2021,,חנות הגינה: 5,5,0,0,5,1,חרדל Red Giant: 1,cs,חרדל,נטע ברוג,0
Thursday 30/12/2021,"סלק
Full-Size Root",30/12/2021,"Beets, Ventu - כדורי F1 נטע
Ra.1 > L1 > Beds 111-112
1 of 9
Beets, Ventu - כדורי F1 נטע
Ra.1 > L2 > Beds 125-126
4 of 9",חנות הגינה: 5,5,0,0,5,8,,bn,,נטע ברוג,0
Thursday 30/12/2021,"תבלין - נענע
Full-Size",30/12/2021,,חנות הגינה: 5,5,0,0,5,5,,bn,,נטע ברוג,0
Thursday 30/12/2021,"(ירק) עירית
Full-Size",30/12/2021,"Chives, Common
Ra.2 > C6m > Bed 204
2 of 3",חנות הגינה: 6,6,0,0,6,6,,bn,"4 בצלית
2 שומית",נטע ברוג,0
Thursday 30/12/2021,"קייל
Full-Size",30/12/2021,"Kale, Scarlet
HH > B > Beds 10-12
2 of 4
Kale, Lacinato (Dinosaur)
HH > B > Beds 8-9
1 of 4
Kale, Lacinato (Dinosaur)
Zvika > zA > Beds 501-502
6 of 11",חנות הגינה: 6,6,0,0,6,9,,bn,,נטע ברוג,0
Wednesday 29/12/2021,"(ירק) בצל ירוק
Full-Size",29/12/2021,,Online Store: 12,12,0,0,12,12,hyd. Aldorado: 12,bn,,נטע ברוג,0
