Date,Planting Name,Crop,Amount,Unit,Outlet Type,Outlet Name,Harvest Stage,Final Harvest
01/01/2022,Chives Common 30/11/2020 Ra.2 > C6m > Bed 204 6 bed m,Chives,,,Wholesale,B2B,Full-Size,Yes
01/01/2022,Chives Common 30/11/2020 Ra.2 > C6m > Bed 204 6 bed m,Chives,,,Farmers Market,הדוכן יום ב,Full-Size,Yes
01/01/2022,Chives Common 30/11/2020 Ra.2 > C6m > Bed 204 6 bed m,Chives,,,,Unknown outlet,Full-Size,Yes
01/01/2022,Chives Common 30/11/2020 Ra.2 > C6m > Bed 204 6 bed m,Chives,,,Farmers Market,קטיף יום ה,Full-Size,Yes
01/01/2022,Radishes Daikon Long 12/10/2021 Ra.3 > R3 > Bed 333 6 bed m,Radishes,,,Wholesale,B2B,Full-Size,Yes
01/01/2022,Radishes Daikon Long 12/10/2021 Ra.3 > R3 > Bed 333 6 bed m,Radishes,,,Farmers Market,הדוכן יום ב,Full-Size,Yes
01/01/2022,Radishes Daikon Long 12/10/2021 Ra.3 > R3 > Bed 333 6 bed m,Radishes,,,,Unknown outlet,Full-Size,Yes
01/01/2022,Radishes Daikon Long 12/10/2021 Ra.3 > R3 > Bed 333 6 bed m,Radishes,,,Farmers Market,קטיף יום ה,Full-Size,Yes
03/01/2022,Broccoli Cavolo Broccolo 08/09/2021 Zvika > zA > Beds 507-509 36 bed m,Broccoli,4.0,Kilograms,Farmers Market,קטיף יום ה,Head,No
03/01/2022,Lettuce hyd. סלנובה אדומה 10/11/2021 Hyd. S > SE > Bed 19 151 plants,Lettuce,,,Wholesale,B2B,Full-Size,Yes
03/01/2022,Lettuce hyd. סלנובה אדומה 10/11/2021 Hyd. S > SE > Bed 19 151 plants,Lettuce,,,Farmers Market,הדוכן יום ב,Full-Size,Yes
03/01/2022,Lettuce hyd. סלנובה אדומה 10/11/2021 Hyd. S > SE > Bed 19 151 plants,Lettuce,,,,Unknown outlet,Full-Size,Yes
03/01/2022,Lettuce hyd. סלנובה אדומה 10/11/2021 Hyd. S > SE > Bed 19 151 plants,Lettuce,,,Farmers Market,קטיף יום ה,Full-Size,Yes
03/01/2022,Strawberry פלס 14/09/2021 Hyd. S > SW > Beds 29-30 336 plants,Strawberry,0.38,Kilograms,Farmers Market,קטיף יום ה,,No
04/01/2022,Chard מונופולי - ראש (שדה) 09/09/2021 Ra.1 > L1 > Bed 116 12 bed m,Chard,,,Wholesale,B2B,Full-Size,Yes
04/01/2022,Chard מונופולי - ראש (שדה) 09/09/2021 Ra.1 > L1 > Bed 116 12 bed m,Chard,,,Farmers Market,הדוכן יום ב,Full-Size,Yes
04/01/2022,Chard מונופולי - ראש (שדה) 09/09/2021 Ra.1 > L1 > Bed 116 12 bed m,Chard,,,,Unknown outlet,Full-Size,Yes
04/01/2022,Chard מונופולי - ראש (שדה) 09/09/2021 Ra.1 > L1 > Bed 116 12 bed m,Chard,,,Farmers Market,קטיף יום ה,Full-Size,Yes
06/01/2022,Lettuce hyd. סלנובה 10/11/2021 Hyd. S > SE > Bed 19 151 plants,Lettuce,,,Wholesale,B2B,Full-Size,Yes
06/01/2022,Lettuce hyd. סלנובה 10/11/2021 Hyd. S > SE > Bed 19 151 plants,Lettuce,,,Farmers Market,הדוכן יום ב,Full-Size,Yes
06/01/2022,Lettuce hyd. סלנובה 10/11/2021 Hyd. S > SE > Bed 19 151 plants,Lettuce,,,,Unknown outlet,Full-Size,Yes
06/01/2022,Lettuce hyd. סלנובה 10/11/2021 Hyd. S > SE > Bed 19 151 plants,Lettuce,,,Farmers Market,קטיף יום ה,Full-Size,Yes
10/01/2022,Lovage Lovage 27/10/2021 Ra.1 > L6m > Beds 105-107 18 bed m,Lovage,11.0,Bunches,Farmers Market,הדוכן יום ב,Full-Size,No
10/01/2022,Spinach hyd. פולה f1 06/12/2021  350 plants,Spinach,100.0,plants,Farmers Market,הדוכן יום ב,Plant sale,Yes
10/01/2022,Spinach hyd. פולה f1 08/12/2021 Hyd. S > SW > Bed 28 336 plants,Spinach,6.0,Bunches,Farmers Market,הדוכן יום ב,Full-Size,No
10/01/2022,Strawberry פלס 14/09/2021 Hyd. S > SW > Beds 29-30 336 plants,Strawberry,0.2,Kilograms,Farmers Market,הדוכן יום ב,,No
12/01/2022,Radishes French Breakfast 24/11/2021 Ra.3 > R1 > Bed 311 6 bed m,Radishes,,,Wholesale,B2B,Full-Size,Yes
12/01/2022,Radishes French Breakfast 24/11/2021 Ra.3 > R1 > Bed 311 6 bed m,Radishes,,,Farmers Market,הדוכן יום ב,Full-Size,Yes
12/01/2022,Radishes French Breakfast 24/11/2021 Ra.3 > R1 > Bed 311 6 bed m,Radishes,,,,Unknown outlet,Full-Size,Yes
12/01/2022,Radishes French Breakfast 24/11/2021 Ra.3 > R1 > Bed 311 6 bed m,Radishes,,,Farmers Market,קטיף יום ה,Full-Size,Yes
13/01/2022,Carrots Nantes Half Long 12/10/2021 Ra.3 > R2 > Beds 321-324 48 bed m,Carrots,10.0,Bunches,Farmers Market,הדוכן יום ב,Full-Size,No
13/01/2022,Fennel Orion 05/10/2021 Zvika > zB > Beds 518-519 18 bed m,Fennel,1.0,Kilograms,Farmers Market,הדוכן יום ב,Full-Size,No
13/01/2022,Leeks Alto 21/07/2021 Ra.2 > C2 > Beds 221-222 24 bed m,Leeks,6.0,Bunches,Farmers Market,הדוכן יום ב,,No
13/01/2022,Lettuce hyd. סלנובה 23/11/2021 Hyd. N > NE > Bed 2 151 plants,Lettuce,9.0,Heads,Farmers Market,הדוכן יום ב,Full-Size,No
13/01/2022,New Zealand Spinach Tetragonia Specialty 13/10/2021 HH > C > Beds 13-16 48 bed m,New Zealand Spinach,4.2,Kilograms,Farmers Market,הדוכן יום ב,,No
13/01/2022,Radishes French Breakfast 13/12/2021 Ra.3 > R1 > Bed 311 6 bed m,Radishes,6.0,Bunches,Farmers Market,הדוכן יום ב,Full-Size,No
22/01/2022,Celery hyd. Giant Dorato 10/11/2021 Hyd. S > SW > Bed 27 180 plants,Celery,,,Wholesale,B2B,Full-Size,Yes
22/01/2022,Celery hyd. Giant Dorato 10/11/2021 Hyd. S > SW > Bed 27 180 plants,Celery,,,Farmers Market,הדוכן יום ב,Full-Size,Yes
22/01/2022,Celery hyd. Giant Dorato 10/11/2021 Hyd. S > SW > Bed 27 180 plants,Celery,,,,Unknown outlet,Full-Size,Yes
22/01/2022,Celery hyd. Giant Dorato 10/11/2021 Hyd. S > SW > Bed 27 180 plants,Celery,,,Farmers Market,קטיף יום ה,Full-Size,Yes
25/01/2022,Anise Hyssop אזוב מצוי 17/07/2018 HH > A > Bed 4 4 bed m,Anise Hyssop,2.0,Bunches,Farmers Market,הדוכן יום ב,Full-Size,No
