Parents Crop,Variety,Year,Total Seeds Needed,Total Weight Needed,Total Seed Weight Needed Unit,Planting,Planting Seed Needed,Planting Seed Weight Needed,Planting Seed Weight Needed Unit,Planting Extra Seed Order %,Planting Seed Spec
Arugula,Arugula,2021,140800,70.4,g,"21/3/2022,  12 bed m, Ra.3 > R3 > Bed 335",70400,35.2,g,10.0,Organic
,,,,,,"18/1/2022,  12 bed m, Ra.2 > C2 > Bed 222",70400,35.2,g,10.0,Organic
Arugula,Arugula,2022,20115,10.06,g,"30/11/2022,  12 bed m, Ra.1 > L2 > Bed 122",115,0.06,g,20.0,Organic
,,,,,,"29/12/2022  · Microgreen, , מנבטה > Bed 1",20000,10.0,g,0.0,Organic
Arugula,hyd. Rocket,2021,1172,0.59,g,"25/1/2022,  180 plants, Hyd. S > SW > Bed 27",234,0.12,g,0.0,
,,,,,,"26/4/2022,  360 plants, Hyd. S > SW > Bed 26",468,0.23,g,0.0,
,,,,,,"6/7/2022,  200 plants, Hyd. S > SW > Bed 26",260,0.13,g,0.0,
,,,,,,"4/8/2022,  2.5 bed m, Hyd. S > SW > Bed 26",210,0.11,g,0.0,
Arugula,hyd. Rocket,2022,2016,1.01,g,"10/1,  4 bed m, Field not assigned",2016,1.01,g,0.0,
Basil,hyd. Prospera,2021,3598,3.91,g,"21/2/2022,  119 plants, Hyd. N > NE > Bed 1",190,0.21,g,0.0,Organic
,,,,,,"12/6/2022,  6 bed m, Hyd. S > SW > Bed 24",780,0.85,g,0.0,Organic
,,,,,,"20/7/2022,  4 bed m, Hyd. N > NE > Bed 4",780,0.85,g,0.0,Organic
,,,,,,"31/8/2022,  6 bed m, Hyd. S > SE > Bed 22",608,0.66,g,0.0,Organic
,,,,,,"13/7/2022  · Plant Sale, 300 plants, Hyd. N - no beds selected",1240,1.34,g,0.0,Organic
Basil,hyd. Prospera,2022,1040,1.13,g,"24/10/2022,  3 bed m, Hyd. N > NE > Bed 7",1040,1.13,g,0.0,Organic
Basil,Prospera,2021,44,0.05,g,"10/5/2022,  6 bed m, Ra.1 > L6m > Bed 103",44,0.05,g,0.0,Organic
Beans: Bush & Pole,California Black Eyed,2021,528,35.2,g,"18/5/2022,  24 bed m, Ra.3 > R2 > Beds 323-324",528,35.2,g,10.0,Organic
Beans: Bush & Pole,Hilda - שטוחה מטפסת,2021,792,198.0,g,"2/5/2022,  30 bed m, Ra.4 > Lo12 > Beds 407-409",792,198.0,g,10.0,Organic
Beans: Bush & Pole,Thai Soldier,2021,260,17.33,g,"18/5/2022  · Plant Sale, 200 plants",260,17.33,g,0.0,
Beets,Boldor,2022,189,3.78,kg,"15/9/2022,  9 bed m, Ra.3 > R2 > Bed 318",189,3.78,kg,0.0,Organic
Beets,Chioggia Guardsmark,2021,159,3.18,g,"10/3/2022,  24 bed m, Ra.1 > L1 > Beds 117-118",159,3.18,g,0.0,Organic
Beets,Chioggia Guardsmark,2022,422,3784.66,g,"15/9/2022,  9 bed m, Ra.3 > R2 > Bed 318",189,3.78,kg,0.0,Organic
,,,,,,"12/10/2022,  12 bed m, Ra.3 > R2 > Bed 317",233,4.66,g,0.0,Organic
Beets,Generic Variety,2021,559,11.18,g,"1/11/2022  · Plant Sale, 400 plants",559,11.18,g,0.0,Organic
Beets,Generic Variety,2022,620,12.4,g,"22/12/2022,  24 bed m, Ra.3 > R2 > Beds 325-326",620,12.4,g,0.0,Organic
Beets,MIX עלי ביבי,2021,43008,860.16,g,"20/6/2022,  12 bed m, Ra.1 > L2 > Bed 126",25200,504.0,g,5.0,Organic
,,,,,,"9/8/2022,  6 bed m, Ra.1 > L2 > Bed 125",16800,336.0,g,5.0,Organic
,,,,,,"6/1/2022,  12 bed m, Ra.3 > R2 > Bed 327",1008,20.16,g,5.0,Organic
Beets,MIX עלי ביבי,2022,16800,336.0,g,"20/9/2022,  6 bed m, Ra.1 > L2 > Bed 126",16800,336.0,g,5.0,Organic
Beets,ברסקו - עגול,2022,1292,25.84,kg,"15/9/2022,  18 bed m, Ra.3 > R2 > Beds 319-320",284,5.68,kg,0.0,Organic
,,,,,,"20/12/2022,  24 bed m, Ra.3 > R2 > Beds 325-326",504,10.08,kg,0.0,Organic
,,,,,,"11/10/2022,  24 bed m, Ra.3 > R1 > Beds 315-316",504,10.08,kg,0.0,Organic
Beets,מיקס ציבעוני,2022,505,10.1,g,"1/2,  24 bed m, Ra.3 > R2 > Beds 327-328",505,10.1,g,0.0,Organic
Broccoli,Partenon,2022,504,2.06,g,"14/9/2022,  48 bed m, Ra.3 > R1 > Beds 305-308",252,1.03,g,0.0,
,,,,,,"12/10/2022,  48 bed m, Ra.3 > R3 > Beds 331-334",252,1.03,g,0.0,
Cabbage,Ruby Ball,2022,576,2.84,g,"11/10/2022,  12 bed m, Ra.4 > Lo18 > Bed 406",132,1.06,g,0.0,
,,,,,,"6/9/2022,  18 bed m, Ra.4 > Lo18 > Bed 403",132,0.53,g,0.0,
,,,,,,"27/12/2022,  24 bed m, Ra.3 > R2 > Beds 319-320",312,1.25,g,0.0,Organic
Cabbage,ירוק,2022,380,1.52,g,"6/9/2022,  30 bed m, Ra.4 > Lo18 > Beds 403-404",182,0.73,g,0.0,Organic
,,,,,,"11/10/2022,  24 bed m, Ra.4 > Lo18 > Beds 405-406",198,0.79,g,0.0,Organic
Cabbage,פרוקטור,2021,351,1.4,g,"2/3/2022,  18 bed m, Zvika > zB > Beds 514-515",351,1.4,g,0.0,Organic
Cabbage,פרוקטור,2022,624,2.49,g,"1/2,  24 bed m, Field not assigned",313,1.25,g,0.0,Organic
,,,,,,"30/11/2022,  24 bed m, Ra.2 > C2 > Beds 217-218",311,1.24,g,0.0,Organic
Carrots,Nantes Half Long,2021,9240,12.09,g,"2/2/2022,  24 bed m, Ra.3 > R2 > Beds 325-326",9240,12.09,g,10.0,Organic
Carrots,Nantes Half Long,2022,21120,31.42,g,"29/9/2022,  48 bed m, Zvika > zA > Beds 501-504",10560,17.6,g,10.0,Organic
,,,,,,"14/12/2022,  24 bed m, Zvika > zA > Beds 507-508",5280,6.91,g,10.0,Organic
,,,,,,"22/11/2022,  24 bed m, Zvika > zA > Beds 505-506",5280,6.91,g,10.0,Organic
Celery,hyd. Early Bell,2021,1965,0.82,g,"3/5/2022,  200 plants, Hyd. N > NE > Beds 7-8",213,0.09,g,0.0,Organic
,,,,,,"1/6/2022,  6 bed m, Hyd. N > NW > Bed 9",546,0.23,g,0.0,Organic
,,,,,,"31/8/2022,  6 bed m, Hyd. S > SE > Bed 16",840,0.35,g,0.0,Organic
,,,,,,"20/6/2022,  6 bed m, Hyd. N > NW > Bed 10",167,0.07,g,0.0,Organic
,,,,,,"3/8/2022,  181 plants, Hyd. S > SE > Beds 16-17",199,0.08,g,0.0,Organic
Celery,hyd. Early Bell,2022,1566,0.66,g,"15/9/2022,  160 plants, Hyd. S > SE > Bed 17",176,0.07,g,0.0,Organic
,,,,,,"12/10/2022,  240 plants, Hyd. S > SE > Bed 22",264,0.11,g,0.0,Organic
,,,,,,"29/11/2022,  100 plants, Hyd. S > SE > Bed 17",110,0.05,g,0.0,Organic
,,,,,,"7/2,  6 bed m, Hyd. S - no beds selected",420,0.18,g,0.0,Organic
,,,,,,"22/3,  6 bed m, Hyd. S - no beds selected",420,0.18,g,0.0,Organic
,,,,,,"21/12/2022,  160 plants, Hyd. S > SE > Bed 21",176,0.07,g,0.0,Organic
Chard,Fordhook Giant,2021,66,1.0,g,"10/8/2022,  12 bed m, Ra.1 > L6m > Beds 105-106",66,1.0,g,0.0,
Chard,Fordhook Giant,2022,176,2.67,g,"26/10/2022,  24 bed m, Ra.2 > C2 > Beds 223-224",176,2.67,g,0.0,
Chard,Hyd. Fordhook Giant,2021,116,1.76,g,"3/8/2022,  8.4 bed m, Hyd. N > NE > Beds 1-2",116,1.76,g,0.0,
Chard,hyd. מונופולי - ראש,2021,2419,48.38,g,"16/3/2022,  6 bed m, Hyd. S > SW > Bed 28",250,5.0,g,0.0,Organic
,,,,,,"6/4/2022,  3 bed m, Hyd. S > SW > Bed 29",250,5.0,g,0.0,Organic
,,,,,,"3/5/2022,  6 bed m, Hyd. S > SW > Bed 29",499,9.98,g,0.0,Organic
,,,,,,"1/11/2022,  4 bed m, Hyd. S > SE > Bed 23",437,8.74,g,0.0,Organic
,,,,,,"5/9/2022,  12 bed m, Field not assigned",520,10.4,g,0.0,Organic
,,,,,,"30/5/2022,  3 bed m, Hyd. N > NW > Bed 11",156,3.12,g,0.0,Organic
,,,,,,"29/6/2022,  3 bed m, Hyd. N > NW > Bed 12",156,3.12,g,0.0,Organic
,,,,,,"10/7/2022,  5 bed m, Hyd. S > SW > Bed 29",151,3.02,g,0.0,Organic
Chard,hyd. מונופולי - ראש,2022,940,18.8,g,"15/11/2022,  2 bed m, Hyd. N > NE > Bed 1",420,8.4,g,0.0,Organic
,,,,,,"10/1,  12 bed m, Hyd. S - no beds selected",520,10.4,g,0.0,Organic
Chives,Common,2021,4223,5.76,g,"10/1,  6 bed m, side > 100 > Bed 1",2344,3.2,g,0.0,
,,,,,,"19/7/2022  · Plant Sale, 240 plants",1879,2.56,g,0.0,
Chives,Garlic Geisha,2021,1879,2.56,g,"2/8/2022  · Plant Sale, 240 plants",1879,2.56,g,0.0,
