Parents Crop,Variety,Year,Total Seeds Needed,Total Weight Needed,Total Seed Weight Needed Unit,Planting,Planting Seed Needed,Planting Seed Weight Needed,Planting Seed Weight Needed Unit,Planting Extra Seed Order %,Planting Seed Spec
Anise Hyssop,אזוב מצוי,2017,54,0.14,g,"17/7/2018,  4 bed m, Ra.1 > L1 > Bed 109",27,0.07,g,0.0,
,,,,,,"17/7/2018,  4 bed m, HH > A > Bed 4",27,0.07,g,0.0,
Artichokes,Generic Variety,2018,12,0.63,g,"30/10/2018,  12 bed m, Field not assigned",12,0.63,g,0.0,
Arugula,Arugula,2018,3960,1.03,g,"13/11/2018,  6 bed m, Ra.1 > L6m > Bed 103",3960,1.03,g,10.0,Organic
Beans: Fava,Generic Variety,2018,95,95.0,g,"1/11/2018,  12 bed m, Ra.3 > R2 > Bed 321",95,95.0,g,10.0,Organic
Beets,Boldor,2018,264,0.0,kg,"26/12/2018,  6 bed m, Ra.2 > C2 > Bed 221",264,0.0,kg,10.0,Organic
Beets,Chioggia Guardsmark,2018,264,0.0,kg,"26/12/2018,  6 bed m, Ra.2 > C2 > Bed 221",264,0.0,kg,10.0,Organic
Beets,Generic Variety,2018,705,0.01,kg,"8/1/2019,  12 bed m, Ra.3 > R3 > Bed 329",465,0.01,kg,0.0,Organic
,,,,,,"10/12/2018,  12 bed m, Ra.3 > R2 > Bed 326",240,0.0,kg,0.0,Organic
Beets,MIX עלי ביבי,2018,1981,0.03,kg,"14/11/2018,  6 bed m, Ra.1 > L6m > Bed 105",1981,0.03,kg,10.0,Organic
Broccoli,Generic Variety,2018,139,0.56,g,"13/2/2019,  12 bed m, Ra.3 > R2 > Bed 327",79,0.32,g,0.0,Organic
,,,,,,"4/12/2018,  12 bed m, Ra.3 > R2 > Bed 323",60,0.24,g,0.0,Organic
Cabbage,Generic Variety,2018,267,0.47,g,"4/12/2018,  12 bed m, Ra.3 > R2 > Bed 325",60,0.0,g,0.0,
,,,,,,"25/12/2018,  12 bed m, Ra.2 > C2 > Bed 227",90,0.0,g,0.0,
,,,,,,"30/1/2019,  12 bed m, Ra.3 > R1 > Bed 305",117,0.47,g,0.0,Organic
Carrots,Mix - מעורב צבעוני,2018,7041,9.22,g,"26/12/2018,  12 bed m, Ra.1 > L2 > Bed 130",7041,9.22,g,10.0,Organic
Carrots,Nantes Half Long,2018,11440,14.97,g,"4/11/2018,  12 bed m, HH > C > Bed 14",6160,8.06,g,10.0,Organic
,,,,,,"10/12/2018,  12 bed m, Ra.1 > L1 > Bed 114",5280,6.91,g,10.0,Organic
Cauliflower,Generic Variety,2018,157,0.69,g,"4/12/2018,  12 bed m, Ra.3 > R2 > Bed 324",78,0.34,g,0.0,Organic
,,,,,,"25/12/2018,  12 bed m, Ra.3 > R1 > Bed 313",79,0.35,g,0.0,Organic
Celeriac,Generic Variety,2017,314,0.13,g,"9/10/2018,  12 bed m, Ra.3 > R1 > Bed 314",314,0.13,g,0.0,Organic
Celeriac,Generic Variety,2018,1023,0.43,g,"13/3/2019,  12 bed m, Ra.2 > C1 > Bed 214",314,0.13,g,0.0,Organic
,,,,,,"10/12/2018,  8 bed m, Ra.3 > R1 > Bed 306",314,0.13,g,0.0,Organic
,,,,,,"13/2/2019,  6 bed m, Ra.2 > C1 > Bed 212",155,0.07,g,0.0,Organic
,,,,,,"30/10/2018,  12 bed m, Ra.3 > R2 > Bed 319",240,0.1,g,0.0,Organic
Celery,Generic Variety,2018,2121,0.88,g,"1/1/2019,  12 bed m, Ra.2 > C2 > Bed 225",627,0.26,g,0.0,Organic
,,,,,,"13/2/2019,  6 bed m, Ra.2 > C1 > Bed 212",627,0.26,g,0.0,Organic
,,,,,,"24/9/2018,  12 bed m, Ra.2 > C1 > Bed 210",240,0.1,g,0.0,Organic
,,,,,,"10/1/2019,  12 bed m, Ra.3 > R2 > Bed 318",627,0.26,g,0.0,Organic
Celery,Gigante Dorato,2018,627,0.26,g,"13/3/2019,  12 bed m, Ra.2 > C1 > Bed 215",627,0.26,g,0.0,Organic
Chard,Bright Lights,2017,313,4.74,g,"29/7/2018,  12 bed m, Ra.1 > L2 > Bed 124",313,4.74,g,0.0,Organic
Chard,Bright Lights,2018,157,2.38,g,"3/1/2019,  6 bed m, Ra.1 > L6m > Bed 101",157,2.38,g,0.0,Organic
Chard,Fordhook Giant,2017,156,2.36,g,"20/9/2018,  6 bed m, HH > B > Bed 7",156,2.36,g,0.0,
Chard,Fordhook Giant,2018,118,1.79,g,"31/12/2018,  6 bed m, HH > A > Bed 5",118,1.79,g,0.0,
Cilantro,Santirini - נטע,2018,12480,143.44,g,"5/2/2019,  8 bed m, Ra.1 > L1 > Bed 119",4992,57.38,g,0.0,Organic
,,,,,,"27/12/2018,  6 bed m, Ra.3 > R6m > Bed 301",3744,43.03,g,0.0,Organic
,,,,,,"14/11/2018,  6 bed m, Ra.3 > R6m > Bed 302",3744,43.03,g,0.0,Organic
Dill,Generic Variety,2018,6242,10.28,g,"1/1/2019,  6 bed m, Ra.1 > L1 > Beds 116, 118",2496,4.11,g,0.0,
,,,,,,"20/2/2019,  3 bed m, Ra.2 > C6m > Bed 201",1253,2.06,g,0.0,
,,,,,,"3/1/2019,  6 bed m, Ra.3 > R6m > Bed 303",2493,4.11,g,0.0,
Fennel,Generic Variety,2018,748,3.84,g,"25/12/2018,  6 bed m, Ra.2 > C2 > Bed 226",120,0.62,g,0.0,
,,,,,,"4/12/2018,  12 bed m, Ra.3 > R2 > Bed 328",314,1.61,g,0.0,
,,,,,,"5/2/2019,  12 bed m, Ra.3 > R3 > Bed 330",314,1.61,g,0.0,
Garlic,שני - מהגינה,2018,2208,24.81,kg,"23/9/2018,  48 bed m, HH > B > Beds 9-12",2208,24.81,kg,15.0,Organic
Kale,Lacinato (Dinosaur),2017,605,3.03,g,"7/8/2018,  6 bed m, HH > A > Bed 5",311,1.56,g,0.0,
,,,,,,"18/1/2018,  6 bed m, HH > A > Bed 6",60,0.3,g,0.0,
,,,,,,"20/9/2018,  6 bed m, HH > B > Bed 7",234,1.17,g,0.0,
Kale,Lacinato (Dinosaur),2018,311,1.56,g,"31/12/2018,  6 bed m, HH > A > Bed 6",311,1.56,g,0.0,
Kale,Red Russian,2018,900,4.5,g,"21/11/2018,  3 bed m, Ra.1 > L1 > Bed 112",900,4.5,g,0.0,
Kohlrabi,Generic Variety,2018,357,1.7,g,"25/12/2018,  8 bed m, Ra.2 > C2 > Bed 217",45,0.21,g,0.0,
,,,,,,"28/1/2019,  12 bed m, Ra.3 > R2 > Bed 320",312,1.49,g,0.0,
Leeks,Generic Variety,2018,313,1.03,g,"27/11/2018,  12 bed m, Ra.3 > R1 > Bed 307",313,1.03,g,0.0,
Lettuce,Generic Variety,2018,731,0.84,g,"13/2/2019,  12 bed m, Ra.1 > L2 > Bed 123",155,0.18,g,0.0,
,,,,,,"13/3/2019,  12 bed m, Ra.1 > L2 > Bed 131",208,0.24,g,0.0,
,,,,,,"4/12/2018,  12 bed m, Ra.3 > R1 > Bed 310",160,0.18,g,0.0,
,,,,,,"29/1/2019,  12 bed m, Ra.3 > R2 > Bed 317",208,0.24,g,0.0,
Lettuce,מסולסלת מעורב,2018,275,0.29,g,"1/1/2019,  8 bed m, Ra.1 > L1 > Bed 116",155,0.15,g,0.0,
,,,,,,"18/11/2018,  12 bed m, Ra.1 > L2 > Bed 121",120,0.14,g,0.0,
Lettuce: Salad Mix,Generic Variety,2018,3961,4.98,g,"10/12/2018,  6 bed m, Ra.1 > L1 > Bed 115",3961,4.98,g,10.0,
Lettuce: Salad Mix,Sativa L. 1836,2018,7922,9.96,g,"14/11/2018,  6 bed m, Ra.1 > L6m > Bed 104",3961,4.98,g,10.0,Organic
,,,,,,"21/11/2018,  6 bed m, Ra.1 > L1 > Bed 112",3961,4.98,g,10.0,Organic
Mizuna,Generic Variety,2018,1981,6.6,g,"10/12/2018,  3 bed m, Ra.1 > L1 > Bed 115",1981,6.6,g,10.0,
Mustard,Generic Variety,2018,600,1.06,g,"10/12/2018,  3 bed m, Ra.1 > L1 > Bed 115",600,1.06,g,0.0,
Onions: Scallions,Generic Variety,2018,4564,0.0,g,"4/12/2018,  4 bed m, Ra.1 > L1 > Bed 110",1662,0.0,g,0.0,
,,,,,,"25/12/2018,  4 bed m, Ra.2 > C2 > Bed 226",1662,0.0,g,0.0,
,,,,,,"14/1/2019,  3 bed m, Ra.3 > R1 > Bed 306",1240,0.0,g,0.0,
Parsley,Green Perle - מסולסלת,2018,3360,5.61,g,"13/3/2019,  6 bed m, Ra.2 > C6m > Bed 204",3120,5.21,g,0.0,
,,,,,,"4/9/2018,  6 bed m, Ra.2 > C6m > Bed 207",240,0.4,g,0.0,
Parsley,Italian Flat,2018,1560,2.6,g,"27/12/2018,  6 bed m, Ra.3 > R6m > Bed 304",1560,2.6,g,0.0,
Parsley Root,Generic Variety,2018,5943,6.75,g,"10/12/2018,  6 bed m, Ra.1 > L1 > Bed 118",1981,2.25,g,10.0,
,,,,,,"26/12/2018,  6 bed m, Ra.2 > C6m > Bed 202",1981,2.25,g,10.0,
,,,,,,"21/11/2018,  6 bed m, Ra.2 > C6m > Bed 205",1981,2.25,g,10.0,
Peas,Tall Telephone,2018,744,186.0,g,"18/10/2018,  24 bed m, HH > C > Beds 13, 15",480,120.0,g,0.0,
