Crop,Variety,Harvest Stage,Yield,Planned Pick,Ordered Amount
Amaranth (Vegetable),,Baby Leaf,296.00 bn,,
Amaranth (Vegetable),Generic Variety,Baby Leaf,296.00 bn,,
Anise Hyssop,,Full-Size,265.00 bn,,
Anise Hyssop,אזוב מצוי,Full-Size,265.00 bn,,
Artichokes,,,15.50 kg,,
Artichokes,גבע - דור 2,,15.50 kg,,
Arugula,,Baby Leaf,279.79 kg,,
Arugula,Arugula,Baby Leaf,163.78 kg,,
Arugula,Wild Rocket,Baby Leaf,116.01 kg,,
Arugula,,Microgreen,26.00 cs,,
Arugula,Generic Variety,Microgreen,26.00 cs,,
Basil,,Full-Size,104.24 kg,,
Basil,Dwarf Greek,Full-Size,0.60 kg,,
Basil,Generic Variety,Full-Size,85.73 kg,,
Basil,Genovese,Full-Size,17.75 kg,,
Basil,Violetto aromatico,Full-Size,0.16 kg,,
Beans: Bush & Pole,,Fresh,64.92 kg,,
Beans: Bush & Pole,Blauhilde,Fresh,1.60 kg,,
Beans: Bush & Pole,California Black Eyed,Fresh,40.40 kg,,
Beans: Bush & Pole,Dulico Del Metro,Fresh,12.12 kg,,
Beans: Bush & Pole,NeckarGold - צהובה מטפסת נטע,Fresh,1.45 kg,,
Beans: Bush & Pole,Purple King,Fresh,2.00 kg,,
Beans: Bush & Pole,Speedy,Fresh,7.35 kg,,
Beets,,Baby Leaf Greens,114.21 kg,,
Beets,Generic Variety,Baby Leaf Greens,1.00 kg,,
Beets,MIX עלי ביבי,Baby Leaf Greens,113.21 kg,,
Beets,,Full-Size Root,206.04 bn,,
Beets,Bull's Blood,Full-Size Root,34.00 bn,,
Beets,Chioggia Guardsmark,Full-Size Root,109.84 bn,,
Beets,Forono - מוערך נטע,Full-Size Root,38.00 bn,,
Beets,Generic Variety,Full-Size Root,24.20 bn,,
Broccoli,,Head,29.15 kg,,
Broccoli,Generic Variety,Head,15.45 kg,,
Broccoli,Marathon,Head,10.20 kg,,
Broccoli,Partenon,Head,1.00 kg,,
Broccoli,עידן - לבדוק,Head,2.50 kg,,
Cabbage,,Full-Size,265.61 kg,,
Cabbage,ירוק,Full-Size,72.31 kg,,
Cabbage,ירוק חישתיל,Full-Size,162.60 kg,,
Cabbage,סגול חישתיל,Full-Size,30.70 kg,,
Carrots,,Full-Size,752.61 bn,,
Carrots,colori Mix - Franchi,Full-Size,22.85 bn,,
Carrots,FLAKKEE   LONG,Full-Size,55.66 bn,,
Carrots,Nantes Half Long,Full-Size,626.50 bn,,
Carrots,Purple Haze,Full-Size,47.60 bn,,
Celery,,Full-Size,798.00 ea,,
Celery,Generic Variety,Full-Size,554.00 ea,,
Celery,Gigante Dorato,Full-Size,244.00 ea,,
Chard,,Full-Size,"1,068.17 bn",,
Chard,Bright Lights,Full-Size,214.00 bn,,
Chard,Fordhook Giant,Full-Size,378.00 bn,,
Chard,Generic Variety,Full-Size,2.50 bn,,
Chard,Silverado,Full-Size,377.67 bn,,
Chard,נפולי - ראש,Full-Size,96.00 bn,,
Chives,,Full-Size,82.00 bn,,
Chives,Generic Variety,Full-Size,82.00 bn,,
Cilantro,,Leaf,"1,081.30 bn",,
Cilantro,Generic Variety,Leaf,308.00 bn,,
Cilantro,Santirini - נטע,Leaf,720.00 bn,,
Cilantro,רימיני 77,Leaf,53.30 bn,,
Cress,,Full-Size,14.40 kg,,
Cress,Garden Broadleaf,Full-Size,10.80 kg,,
Cress,Watercress,Full-Size,3.60 kg,,
Cucumbers,,,75.05 kg,,
Cucumbers,Facus - פאקוס,,75.05 kg,,
Dill,,Full-Size,71.00 bn,,
Dill,Dukat,Full-Size,65.00 bn,,
Dill,Generic Variety,Full-Size,6.00 bn,,
Dill,,Leaf,546.00 bn,,
Dill,Generic Variety,Leaf,140.00 bn,,
Dill,אמליה,Leaf,406.00 bn,,
Eggplant,,,143.10 kg,,
Eggplant,Aragon - חישתיל,,59.00 kg,,
Eggplant,Meatball,,2.00 kg,,
Eggplant,בלאדי - יעל,,82.10 kg,,
Fennel,,Full-Size,340.70 kg,,
Fennel,Generic Variety,Full-Size,317.20 kg,,
Fennel,Orion,Full-Size,23.50 kg,,
Fennel,,Plant Sale,280.00 pl,,
Fennel,Generic Variety,Plant Sale,280.00 pl,,
Garlic,,Bulb,316.35 bn,,
Garlic,שני - מהגינה,Bulb,316.35 bn,,
Garlic,,Scapes,146.00 bn,,
Garlic,שני - מהגינה,Scapes,146.00 bn,,
Gourds,,,4.70 kg,,
Gourds,Generic Variety,,4.70 kg,,
Jicama,,,24.50 kg,,
Jicama,Generic Variety,,24.50 kg,,
Kale,,Baby Leaf,22.73 kg,,
Kale,Red Russian,Baby Leaf,22.73 kg,,
Kale,,Full-Size,920.00 bn,,
Kale,Lacinato (Dinosaur),Full-Size,781.00 bn,,
Kale,White Russian,Full-Size,15.00 bn,,
Kale,גומן,Full-Size,124.00 bn,,
Kohlrabi,,Full-Size,192.20 kg,,
Kohlrabi,Generic Variety,Full-Size,117.10 kg,,
Kohlrabi,Konmar,Full-Size,48.40 kg,,
Kohlrabi,קרף - נטע,Full-Size,26.70 kg,,
Leeks,,,54.50 bn,,
Leeks,Alto,,16.00 bn,,
Leeks,Generic Variety,,38.50 bn,,
Lemon Verbena,,,21.00 bn,,
Lemon Verbena,Generic Variety,,21.00 bn,,
Lettuce,,Full-Size,"3,747.70 hd",,
Lettuce,936 רומית,Full-Size,28.10 hd,,
Lettuce,Generic Variety,Full-Size,60.00 hd,,
Lettuce,hyd. ערבית - נהורה נטע,Full-Size,966.00 hd,,
Lettuce,Iceberg,Full-Size,422.00 hd,,
Lettuce,May queen - Regina di Maggio,Full-Size,10.00 hd,,
Lettuce,Salanova - רם שחר,Full-Size,79.40 hd,,
Lettuce,Samba - אדומה,Full-Size,70.00 hd,,
Lettuce,מיאל - אדומה,Full-Size,40.00 hd,,
Lettuce,מסולסלת מעורב,Full-Size,"1,164.20 hd",,
Lettuce,ערבית - רם שחר,Full-Size,823.00 hd,,
Lettuce,רונה לי - מסולסלת,Full-Size,85.00 hd,,
Lettuce,,Plant Sale,600.00 pl,,
Lettuce,hyd. ערבית - נהורה נטע,Plant Sale,400.00 pl,,
Lettuce,מסולסלת מעורב,Plant Sale,200.00 pl,,
Lettuce: Salad Mix,,Full-Size,522.26 kg,,
Lettuce: Salad Mix,Chicory,Full-Size,12.70 kg,,
Lettuce: Salad Mix,Mesclun Mix,Full-Size,476.31 kg,,
Lettuce: Salad Mix,Salanova® Foundation Collection,Full-Size,26.05 kg,,
Lettuce: Salad Mix,Salanova® Home Garden Mix,Full-Size,7.20 kg,,
Melons,,,187.35 kg,,
Melons,Hustan - הוסטאן,,95.15 kg,,
Melons,Rymond - ריימונד,,92.20 kg,,
Mint,,Full-Size,257.00 bn,,
Mint,Common Mint,Full-Size,228.00 bn,,
Mint,Doublemint,Full-Size,29.00 bn,,
Mizuna,,Baby Leaf,45.00 kg,,
Mizuna,Generic Variety,Baby Leaf,45.00 kg,,
Mustard,,Baby Leaf,28.72 kg,,
Mustard,Generic Variety,Baby Leaf,12.42 kg,,
Mustard,Red Giant,Baby Leaf,16.30 kg,,
New Zealand Spinach,,,703.62 cs,,
