Category,Family Name,Crop,Crop Type,Variety,Planting Method,Harvest Stage,GH Sow Date,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Days In Greenhouse,Field Sowing Planting Date,DTM,Harvest Window,First Harvest,Last Harvest,Planting Amount,Location,In-Row Spacing,In-Row Spacing Unit,Rows Per Bed,# Of Flats,Flat/pot type,Seeds per cell,Estimated loss,Total Transplants,Total Seed Needed,Average seed weight,Average seed weight unit,Total Weight Needed,Total Weight Needed Unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Harvest Unit,Avg Yield Rate,Avg. Sales Price,Est. Yield,Est. Revenue,Est. Rev./unit,Growing Cycle,Rootstock,Harvest Season,First Fruiting Year,Between row spacing,Notes,Seeder,Front gear,Rear gear,Roller plate
Vegetables,Amaranthaceae,Amaranth (Vegetable),Amaranth (Vegetable),Generic Variety,Direct Sow,Baby Leaf,,,,,,,,,12/03/2020,,142,18/05/2020,07/10/2020,12 bed m,"Ramim,Ra.2,Block C2,Beds 222",1.0,cm,3,,,,,,1800,500,seeds/g,3.60,g,0.00,,,,,,,,,,,Bunches,4.000 bn/row m,₪6.00/bn,144.0 Bunches,₪864.00,₪24.00/row m,Annual,,,,,,Jang JP-1,14,9,YY - 24
Vegetables,Amaranthaceae,Amaranth (Vegetable),Amaranth (Vegetable),Generic Variety,Direct Sow,Baby Leaf,,,,,,,,,16/07/2020,,37,30/09/2020,06/11/2020,12 bed m,"Ramim,Ra.2,Block C1,Beds 213",1.0,cm,6,,,,,,7200,3000,seeds/g,2.40,g,0.00,,,,,,,,,,,Bunches,4.000 bn/row m,₪6.00/bn,288.0 Bunches,"₪1,728.00",₪24.00/row m,Annual,,,,,,Jang JP-1,14,9,YY - 24
Herbs,Lamiaceae,Anise Hyssop,Anise Hyssop,אזוב מצוי,Transplant from Purchased,Full-Size,,,,,,,,,17/07/2018,,360,01/09/2018,27/08/2019,4 bed m,"Home,HH,Block A,Beds 4",30.0,cm,2,,,,0,26.67,27,400,seeds/g,0.07,g,0.00,,,,,,,,,,,Bunches,20.000 bn/row m,₪5.00/bn,160.0 Bunches,₪800.00,₪100.00/row m,Perennial,,,,,,,,,
Vegetables,Asteraceae,Artichokes,Artichokes,גבע - דור 2,Greenhouse Sow,,23/09/2019,,,,,,,,14/11/2019,,90,04/05/2020,02/08/2020,36 bed m,"Home,HH,Block A,Beds 5-6,Block B,Beds 7",60.0,cm,2,0.49,128 cell flats,2,30,62,125,19,seeds/g,6.58,g,0.00,,,,,,,,,,,Kilograms,2.000 kg/row m,₪20.00/kg,144.0 Kilograms,"₪2,880.00",₪40.00/row m,Annual,,,,,,,,,
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,13/10/2019,,84,11/11/2019,03/02/2020,8 bed m,"Home,HH,Block B,Beds 11",0.5,cm,8,,,,,,14080,500,seeds/g,28.16,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,9.6 Kilograms,₪512.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,13/10/2019,,59,02/12/2019,30/01/2020,4 bed m,"Home,HH,Block B,Beds 11",0.5,cm,8,,,,,,21120,2000,seeds/g,10.56,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,4.8 Kilograms,₪256.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,30/10/2019,,18,19/12/2019,06/01/2020,6 bed m,"Home,HH,Block C,Beds 14",0.5,cm,6,,,,,,7920,500,seeds/g,15.84,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,5.4 Kilograms,₪288.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,04/12/2019,,46,08/01/2020,23/02/2020,6 bed m,"Ramim,Ra.1,Block L6m,Beds 105",0.5,cm,8,,,,,,10560,2000,seeds/g,5.28,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,7.2 Kilograms,₪384.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,FJ - 24
Vegetables,Brassicaceae,Arugula,Arugula,Arugula,Direct Sow,Baby Leaf,,,,,,,,,06/01/2020,,21,09/03/2020,30/03/2020,12 bed m,"Home,HH,Block B,Beds 10",0.5,cm,8,,,,,,21120,2500,seeds/g,8.45,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,14.4 Kilograms,₪768.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,X-24
Vegetables,Brassicaceae,Arugula,Arugula,Wild Rocket,Direct Sow,Baby Leaf,,,,,,,,,22/01/2020,,45,02/03/2020,16/04/2020,6 bed m,"Ramim,Ra.1,Block L1,Beds 111",0.5,cm,8,,,,,,10560,3000,seeds/g,3.52,g,10.00,Organic,,,,,,,,,,Kilograms,0.150 kg/row m,₪8.00/cs,7.2 Kilograms,₪384.00,₪8.00/row m,Annual,,,,,,Jang JP-1,14,9,YYJ-24
