Date,Planting Name,Crop,Amount,Unit,Outlet Type,Outlet Name,Harvest Stage,Final Harvest
01/01/2020,Beets MIX עלי ביבי 25/10/2019 Ra.1 > L1 > Bed 110 10 bed m,Beets,3.0,Bunches,,Unknown outlet,Baby Leaf Greens,No
01/01/2020,Chard Fordhook Giant 10/10/2019 Ra.3 > R1 > Bed 316 12 bed m,Chard,6.0,Bunches,,Unknown outlet,Full-Size,No
01/01/2020,Cilantro Santirini - נטע 09/10/2019 Ra.1 > L2 > Bed 130 12 bed m,Cilantro,12.0,Bunches,,Unknown outlet,Leaf,No
01/01/2020,Dill Generic Variety 23/09/2019 Ra.1 > L2 > Bed 123 5 bed m,Dill,4.0,Bunches,,Unknown outlet,Leaf,No
01/01/2020,Kale Lacinato (Dinosaur) 26/08/2019 Ra.2 > C2 > Bed 228 12 bed m,Kale,4.0,Bunches,,Unknown outlet,Full-Size,No
01/01/2020,Kale גומן 26/08/2019 Ra.1 > L2 > Bed 131 12 bed m,Kale,6.0,Bunches,,Unknown outlet,Full-Size,No
01/01/2020,Lettuce מסולסלת מעורב 31/10/2019 Ra.1 > L1 > Bed 120 12 bed m,Lettuce,15.0,Heads,,Unknown outlet,Full-Size,No
01/01/2020,Lettuce ערבית - רם שחר 17/10/2019 Ra.1 > L1 > Bed 118 6 bed m,Lettuce,17.0,Heads,,Unknown outlet,Full-Size,No
01/01/2020,Lettuce: Salad Mix Mesclun Mix 06/11/2019 HH > B > Beds 8-9 24 bed m,Lettuce: Salad Mix,4.0,Kilograms,,Unknown outlet,Full-Size,No
01/01/2020,Lettuce: Salad Mix Salanova® Foundation Collection 17/10/2019 HH > B > Bed 10 12 bed m,Lettuce: Salad Mix,20.0,Heads,,Unknown outlet,Full-Size,No
01/01/2020,New Zealand Spinach Generic Variety 19/02/2019 Ra.2 > C2 > Bed 220 12 bed m,New Zealand Spinach,4.5,Kilograms,,Unknown outlet,,No
01/01/2020,Parsley Generic Variety 17/10/2019 Ra.1 > L6m > Bed 102 + 1 more Block 12 bed m,Parsley,15.0,Bunches,,Unknown outlet,Full-Size,No
02/01/2020,Celery Generic Variety 30/09/2019 Ra.3 > R1 > Bed 307 12 bed m,Celery,10.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Chives Generic Variety 25/07/2019 Ra.2 > C6m > Bed 206 6 bed m,Chives,5.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Cilantro Generic Variety 17/10/2019 Ra.1 > L2 > Beds 122-123 13 bed m,Cilantro,10.0,Bunches,Farmers Market,קטיף יום ה,Leaf,No
02/01/2020,Cilantro Santirini - נטע 09/10/2019 Ra.1 > L2 > Bed 130 12 bed m,Cilantro,10.0,Bunches,Farmers Market,קטיף יום ה,Leaf,No
02/01/2020,Dill Generic Variety 23/09/2019 Ra.1 > L2 > Bed 123 5 bed m,Dill,10.0,Bunches,Farmers Market,קטיף יום ה,Leaf,No
02/01/2020,Fennel Generic Variety 01/08/2019 Ra.1 > L2 > Bed 125 8 bed m,Fennel,2.2,Kilograms,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Fennel Generic Variety 26/08/2019 Ra.2 > C2 > Bed 227 12 bed m,Fennel,4.3,Kilograms,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Kale Lacinato (Dinosaur) 26/08/2019 Ra.2 > C2 > Bed 228 12 bed m,Kale,4.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Kale גומן 26/08/2019 Ra.1 > L2 > Bed 131 12 bed m,Kale,6.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Kohlrabi קרף - נטע 23/09/2019 Ra.3 > R1 > Bed 305 12 bed m,Kohlrabi,8.0,Kilograms,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Lettuce מסולסלת מעורב 31/10/2019 Ra.1 > L1 > Bed 120 12 bed m,Lettuce,14.0,Heads,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Lettuce ערבית - רם שחר 31/10/2019 Ra.2 > C1 > Bed 210 12 bed m,Lettuce,17.0,Heads,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Lettuce: Salad Mix Mesclun Mix 06/11/2019 HH > B > Beds 8-9 24 bed m,Lettuce: Salad Mix,6.0,Kilograms,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Lettuce: Salad Mix Mesclun Mix 28/11/2019 HH > C > Bed 16 12 bed m,Lettuce: Salad Mix,0.0,Kilograms,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Lettuce: Salad Mix Salanova® Foundation Collection 17/10/2019 HH > B > Bed 10 12 bed m,Lettuce: Salad Mix,7.0,Heads,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,New Zealand Spinach Generic Variety 01/08/2019 Ra.2 > C2 > Bed 222 12 bed m,New Zealand Spinach,9.0,Cases,Farmers Market,קטיף יום ה,,No
02/01/2020,Parsley Generic Variety 17/10/2019 Ra.1 > L6m > Bed 102 + 1 more Block 12 bed m,Parsley,25.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Radishes Daikon Long 16/10/2019 Ra.1 > L6m > Bed 103 3 bed m,Radishes,6.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Radishes Nero Tondo 16/10/2019 Ra.1 > L6m > Bed 103 3 bed m,Radishes,6.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Sage Common 17/07/2018 Ra.1 > L1 > Bed 109 8 bed m,Sage,10.0,Bunches,Farmers Market,קטיף יום ה,,No
02/01/2020,Spinach Generic Variety 04/11/2019 Ra.1 > L2 > Bed 127 12 bed m,Spinach,1.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Spinach Generic Variety 14/11/2019 Ra.1 > L2 > Bed 128 12 bed m,Spinach,10.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
02/01/2020,Tarragon שיבה 17/07/2018  4 bed m,Tarragon,0.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
03/01/2020,Spinach Generic Variety 14/11/2019 Ra.1 > L2 > Bed 128 12 bed m,Spinach,3.0,Bunches,,Unknown outlet,Full-Size,No
06/01/2020,Arugula Arugula 30/10/2019 HH > C > Bed 14 6 bed m,Arugula,1.0,Kilograms,Farmers Market,קטיף יום ה,Baby Leaf,Yes
06/01/2020,Beets MIX עלי ביבי 28/08/2019 Ra.2 > C6m > Bed 208 6 bed m,Beets,1.5,Kilograms,Farmers Market,קטיף יום ה,Baby Leaf Greens,No
06/01/2020,Celery Generic Variety 30/09/2019 Ra.3 > R1 > Bed 307 12 bed m,Celery,6.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
06/01/2020,Chives Generic Variety 25/07/2019 Ra.2 > C6m > Bed 206 6 bed m,Chives,6.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
06/01/2020,Dill Generic Variety 23/09/2019 Ra.1 > L2 > Bed 123 5 bed m,Dill,7.0,Bunches,Farmers Market,קטיף יום ה,Leaf,No
06/01/2020,Fennel Generic Variety 26/08/2019 Ra.2 > C2 > Bed 227 12 bed m,Fennel,4.6,Kilograms,Farmers Market,קטיף יום ה,Full-Size,No
06/01/2020,Kale Lacinato (Dinosaur) 26/08/2019 Ra.2 > C2 > Bed 228 12 bed m,Kale,0.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
