Site Name,Field Name,Field Name Version,Block Name,Bed Number,Bed Length,1st Rotation Planting Name,1st Rotation Crop,1st Rotation Start Date,1st Rotation End Date,2nd Rotation Planting Name,2nd Rotation Crop,2nd Rotation Start Date,2nd Rotation End Date,3rd Rotation Planting Name,3rd Rotation Crop,3rd Rotation Start Date,3rd Rotation End Date,4th Rotation Planting Name,4th Rotation Crop,4th Rotation Start Date,4th Rotation End Date,5th Rotation Planting Name,5th Rotation Crop,5th Rotation Start Date,5th Rotation End Date,6th Rotation Planting Name,6th Rotation Crop,6th Rotation Start Date,6th Rotation End Date,7th Rotation Planting Name,7th Rotation Crop,7th Rotation Start Date,7th Rotation End Date,8th Rotation Planting Name,8th Rotation Crop,8th Rotation Start Date,8th Rotation End Date,9th Rotation Planting Name,9th Rotation Crop,9th Rotation Start Date,9th Rotation End Date
Home,HH,,A,1,,"Jerusalem Artichokes, Generic Variety",Jerusalem Artichokes,04/12/2019,01/07/2021,"Radishes, French Breakfast, Full-Size",Radishes,21/01/2021,28/03/2021,"Radishes, Generic Variety, Full-Size",Radishes,08/04/2021,22/05/2021,"Asparagus, Granada",Asparagus,15/07/2021,,"Chives, Common, Full-Size",Chives,20/08/2021,25/08/2022,,,,,,,,,,,,,,,,
Home,HH,,A,2,,"Jerusalem Artichokes, Generic Variety",Jerusalem Artichokes,04/12/2019,01/07/2021,"Radishes, צנון לבן z1015, Full-Size",Radishes,11/01/2021,06/05/2021,"Asparagus, Granada",Asparagus,15/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,3,,"Jerusalem Artichokes, Generic Variety",Jerusalem Artichokes,04/12/2019,01/07/2021,"Turnips, lodigiana לבן שטוח, Full-Size",Turnips,21/01/2021,01/05/2021,"Asparagus, Granada",Asparagus,15/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,4,,"Anise Hyssop, אזוב מצוי, Full-Size",Anise Hyssop,17/07/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,5,,"Peas, Snow, ורדה, Full-Size",Peas,02/12/2020,15/04/2021,"Peas, Snap, Yellow Sugar, Full-Size",Peas,02/12/2020,18/03/2021,"Asparagus, Granada",Asparagus,28/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,6,,"Peas, Snap, Yellow Sugar, Full-Size",Peas,02/12/2020,18/03/2021,"Artichokes, Wonder",Artichokes,17/11/2021,28/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,7,,"Peas, Snow, ורדה, Full-Size",Peas,02/12/2020,15/04/2021,"Artichokes, Wonder",Artichokes,17/11/2021,28/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,8,,"Radishes, Nero Tondo, Full-Size",Radishes,31/12/2020,26/02/2021,"Radishes, Daikon Long, Full-Size",Radishes,31/12/2020,28/02/2021,"Chard, Silverado, Full-Size",Chard,28/01/2021,26/06/2021,"Spinach, Aurora Mountain Red, Full-Size",Spinach,08/03/2021,29/06/2021,"Kale, Lacinato (Dinosaur), Full-Size",Kale,10/08/2021,09/09/2022,"Pineapple, Generic Variety",Pineapple,13/10/2021,,,,,,,,,,,,,
Home,HH,,B,9,,"Kale, Lacinato (Dinosaur), Full-Size",Kale,10/08/2021,09/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,10,,"Turmeric, Elad",Turmeric,25/05/2020,02/11/2021,"Radishes, Daikon Long, Full-Size",Radishes,23/11/2020,26/04/2021,"Kale, Scarlet, Full-Size",Kale,25/09/2021,29/08/2022,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,11,,"Turmeric, Elad",Turmeric,25/05/2020,02/11/2021,"Peas, Snap, Sugar Snap, Full-Size",Peas,09/12/2020,18/03/2021,"Kale, Scarlet, Full-Size",Kale,25/09/2021,29/08/2022,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,12,,"Turmeric, Elad",Turmeric,25/05/2020,02/11/2021,"Peas, Snow, Generic Variety, Full-Size",Peas,30/11/2020,18/03/2021,"Kale, Scarlet, Full-Size",Kale,25/09/2021,29/08/2022,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,13,,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,02/09/2020,25/08/2021,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,13/10/2021,28/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,14,,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,02/12/2020,03/08/2021,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,13/10/2021,28/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,15,,"Lettuce, Butterhead, מסולסלת מעורב, Full-Size",Lettuce,25/11/2020,05/04/2021,"Peas, Snap, Yellow Sugar, Full-Size",Peas,02/12/2020,18/03/2021,"Cucumbers, Corinto",Cucumbers,13/05/2021,21/09/2021,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,13/10/2021,28/06/2022,"Chinese Lantern, שלפח-גולדן ברי",Chinese Lantern,17/10/2021,,,,,,,,,,,,,,,,,
