Category,Product Name,Unit,Total Qty Sold,Total Refunded Qty,Gross Sales,Net Sales,Shopify - Gross Sales,Online Store - Gross Sales,Offer Sheet - Gross Sales
ירק,(ירק) בצל ירוק,bn,601,0.0,,"₪3,606.00",₪0.00,₪690.00,"₪2,916.00"
בייבי,בייבי מיקס,kg,68,0.0,,"₪3,400.00",₪0.00,₪100.00,"₪3,300.00"
חסה,(חסה) רומית,hd,652,0.0,,"₪3,042.50",₪0.00,₪472.50,"₪2,570.00"
ירק,סלרי,ea,397,0.0,,"₪2,856.50",₪0.00,₪131.50,"₪2,725.00"
ירק,מנגולד צרור,hd,263,0.0,,"₪2,526.50",₪0.00,₪220.00,"₪2,306.50"
ירק,בזיל,cs,233,0.0,,"₪1,840.00",₪0.00,₪0.00,"₪1,840.00"
ירק,קייל,bn,227,0.0,,"₪1,770.50",₪0.00,₪170.50,"₪1,600.00"
ירק,(ירק) פטרוזיליה,bn,281,0.0,,"₪1,200.75",₪0.00,₪188.25,"₪1,012.50"
חסה,(חסה) חמאה,hd,228,0.0,,"₪1,132.50",₪0.00,₪262.50,₪870.00
ירק,תרד ניוזילנדי,kg,52,0.0,,"₪1,124.00",₪0.00,₪364.00,₪760.00
בייבי,בייבי מיקס,cs,82,0.0,,₪984.00,₪0.00,₪984.00,₪0.00
חסה,(חסה) אייסברג,hd,188,0.0,,₪983.00,₪0.00,₪505.00,₪478.00
ירקות,גזר,bn,94,0.0,,₪912.00,₪0.00,₪0.00,₪912.00
ירק,(ירק) כוסברה,bn,175,0.0,,₪830.00,₪0.00,₪30.00,₪800.00
ירקות,צנונית,bn,124,0.0,,₪715.00,₪0.00,₪469.00,₪246.00
בייבי,בייבי - רוקט,cs,88,0.0,,₪660.50,₪0.00,₪172.50,₪488.00
ירקות,סלק,bn,74,0.0,,₪587.00,₪0.00,₪0.00,₪587.00
בייבי,בייבי סלק,kg,11,0.0,,₪512.00,₪0.00,₪500.00,₪12.00
חסה,(חסה) מסולסלת,hd,111,0.0,,₪444.00,₪0.00,₪48.00,₪396.00
תבלינים,תבלין - נענע,bn,83,0.0,,₪415.00,₪0.00,₪150.00,₪265.00
בייבי,בייבי - רוקט,bn,52,0.0,,₪394.00,₪0.00,₪394.00,₪0.00
ירק,(ירק) עירית בצלית,bn,77,0.0,,₪381.50,₪0.00,₪86.50,₪295.00
חסה,(חסה) סלנובה,cs,74,0.0,,₪370.00,₪0.00,₪125.00,₪245.00
בייבי,בייבי מיקס,cs,30,0.0,,₪330.00,₪0.00,₪0.00,₪330.00
ירקות,קולרבי,kg,32,0.0,,₪256.00,₪0.00,₪32.00,₪224.00
ירקות,צנון,bn,41,0.0,,₪246.00,₪0.00,₪30.00,₪216.00
ירקות,חציל,kg,24,0.0,,₪240.00,₪0.00,₪0.00,₪240.00
תבלינים,תבלין - מרווה,bn,47,0.0,,₪231.25,₪0.00,₪35.00,₪196.25
ירקות,שומר,kg,25,0.0,,₪225.00,₪0.00,₪198.00,₪27.00
ירקות,כרוב,kg,25,0.0,,₪220.00,₪0.00,₪120.00,₪100.00
תבלינים,תבלין - אזוב,bn,43,0.0,,₪215.00,₪0.00,₪5.00,₪210.00
ירק,(ירק) שמיר,bn,35,0.0,,₪175.00,₪0.00,₪0.00,₪175.00
ירקות,כרישה,bn,14,0.0,,₪168.00,₪0.00,₪168.00,₪0.00
ירק,תרד ניוזילנדי,cs,20,0.0,,₪160.00,₪0.00,₪0.00,₪160.00
בייבי,בייבי נפרדים,cs,17,0.0,,₪136.00,₪0.00,₪136.00,₪0.00
ירק,גרגר הנחלים,cs,7,0.0,,₪56.00,₪0.00,₪56.00,₪0.00
ירקות,פלפל חריף,kg,1,0.0,,₪30.00,₪0.00,₪0.00,₪30.00
