Site Name,Field Name,Field Name Version,Block Name,Bed Number,Bed Length,1st Rotation Planting Name,1st Rotation Crop,1st Rotation Start Date,1st Rotation End Date,2nd Rotation Planting Name,2nd Rotation Crop,2nd Rotation Start Date,2nd Rotation End Date,3rd Rotation Planting Name,3rd Rotation Crop,3rd Rotation Start Date,3rd Rotation End Date,4th Rotation Planting Name,4th Rotation Crop,4th Rotation Start Date,4th Rotation End Date,5th Rotation Planting Name,5th Rotation Crop,5th Rotation Start Date,5th Rotation End Date,6th Rotation Planting Name,6th Rotation Crop,6th Rotation Start Date,6th Rotation End Date,7th Rotation Planting Name,7th Rotation Crop,7th Rotation Start Date,7th Rotation End Date,8th Rotation Planting Name,8th Rotation Crop,8th Rotation Start Date,8th Rotation End Date,9th Rotation Planting Name,9th Rotation Crop,9th Rotation Start Date,9th Rotation End Date,10th Rotation Planting Name,10th Rotation Crop,10th Rotation Start Date,10th Rotation End Date,11th Rotation Planting Name,11th Rotation Crop,11th Rotation Start Date,11th Rotation End Date,12th Rotation Planting Name,12th Rotation Crop,12th Rotation Start Date,12th Rotation End Date,13th Rotation Planting Name,13th Rotation Crop,13th Rotation Start Date,13th Rotation End Date,14th Rotation Planting Name,14th Rotation Crop,14th Rotation Start Date,14th Rotation End Date
Home,HH,,A,1,,"Asparagus, Granada",Asparagus,15/07/2021,,"Chives, Common, Full-Size",Chives,20/08/2021,25/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,2,,"Asparagus, Granada",Asparagus,15/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,3,,"Asparagus, Granada",Asparagus,15/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,4,,"Anise Hyssop, אזוב מצוי, Full-Size",Anise Hyssop,17/07/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,5,,"Asparagus, Granada",Asparagus,28/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,A,6,,"Artichokes, Wonder",Artichokes,17/11/2021,28/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,7,,"Artichokes, Wonder",Artichokes,17/11/2021,28/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,8,,"Kale, Lacinato (Dinosaur), Full-Size",Kale,10/08/2021,09/09/2022,"Pineapple, Generic Variety",Pineapple,13/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,9,,"Kale, Lacinato (Dinosaur), Full-Size",Kale,10/08/2021,09/09/2022,"Kale, Lacinato (Dinosaur), Full-Size",Kale,07/09/2022,16/04/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,10,,"Kale, Scarlet, Full-Size",Kale,25/09/2021,29/08/2022,"Kale, Lacinato (Dinosaur), Full-Size",Kale,07/09/2022,16/04/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,11,,"Kale, Scarlet, Full-Size",Kale,25/09/2021,29/08/2022,"Kale, Scarlet, Full-Size",Kale,07/09/2022,18/04/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,B,12,,"Kale, Scarlet, Full-Size",Kale,25/09/2021,29/08/2022,"Kale, גומן, Full-Size",Kale,07/09/2022,08/02/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,13,,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,13/10/2021,28/06/2022,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,13/07/2022,10/04/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,14,,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,13/10/2021,28/06/2022,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,13/07/2022,10/04/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,15,,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,13/10/2021,28/06/2022,"Chinese Lantern, שלפח-גולדן ברי",Chinese Lantern,17/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,16,,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,13/10/2021,28/06/2022,"Rhubarb, Crimson Red",Rhubarb,10/11/2021,,"Rhubarb, Crimson Red",Rhubarb,29/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,17,,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,13/07/2022,10/04/2023,"Kale, Lacinato (Dinosaur), Full-Size",Kale,28/12/2022,30/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,HH,,C,18,,"New Zealand Spinach, Tetragonia Specialty",New Zealand Spinach,13/07/2022,10/04/2023,"Kale, Lacinato (Dinosaur), Full-Size",Kale,28/12/2022,30/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,1,,"Arugula, Arugula, Microgreen",Arugula,15/12/2022,01/01/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home,מנבטה,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NE-4""(50)",1,,"Tomatoes, Cherry, Hyd. Whitny וייטני, Ripe",Tomatoes,20/12/2022,07/08/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NE-4""(50)",2,,"Cucumbers, hyd.  נטע",Cucumbers,05/04/2022,26/07/2022,"Cucumbers, Beit Alpha MR",Cucumbers,15/07/2022,17/09/2022,"Tomatoes, Slicer, Costoluto Fiorentino, Ripe",Tomatoes,20/12/2022,17/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NE-4""(50)",3,,"Tomatoes, Slicer, hyd. montecarlo F1, Ripe",Tomatoes,02/02/2022,03/01/2023,"Cucumbers, hyd.  נטע",Cucumbers,05/04/2022,26/07/2022,"Cucumbers, Beit Alpha MR",Cucumbers,15/07/2022,17/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NW-4""(50)",4,,"Cucumbers, Beit Alpha MR",Cucumbers,15/07/2022,17/09/2022,"Cucumbers, hyd. Beit Alpha",Cucumbers,12/09/2022,01/12/2022,"Cucumbers, Mini Munch",Cucumbers,20/12/2022,09/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"NW-4""(50)",5,,"Cucumbers, hyd. Beit Alpha",Cucumbers,12/09/2022,01/12/2022,"Cucumbers, Mini Munch",Cucumbers,20/12/2022,09/06/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SE-4""(40)",6,,"Tomatoes, Slicer, Costoluto Fiorentino, Ripe",Tomatoes,05/10/2022,08/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SE-4""(40)",7,,"Cucumbers, Beit Alpha MR",Cucumbers,26/05/2022,17/08/2022,"Tomatoes, Cherry, Hyd. Whitny וייטני, Ripe",Tomatoes,13/07/2022,24/02/2023,"Cucumbers, Beit Alpha MR",Cucumbers,15/07/2022,17/09/2022,"Cucumbers, hyd. Beit Alpha",Cucumbers,06/12/2022,01/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,"Hyd. 4""",,"SE-4""(40)",8,,"Tomatoes, Cherry, Lobelo hyd. מורכב, Ripe",Tomatoes,23/03/2022,25/12/2022,"Cucumbers, Beit Alpha MR",Cucumbers,26/05/2022,17/08/2022,"Cucumbers, Beit Alpha MR",Cucumbers,15/07/2022,17/09/2022,"Cucumbers, hyd. Beit Alpha",Cucumbers,06/12/2022,01/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
