Pack List,Item,Pick date,Pick From,Outlets,Total Outlets Need,From Storage,Additional,Planned Pick,Actual Pick,Pick by Variety,Unit,Pick Instruction,Assignee,Labor Time (hr)
Thursday 29/12/2022,"בייבי נפרדים
Full-Size",29/12/2022,"Lettuce: Salad Mix, מיזונה מיקס
Ra.1 > L2 > Bed 128
3 of 48
Lettuce: Salad Mix, קייל בייבי
Ra.1 > L2 > Bed 130
8 of 48
Lettuce: Salad Mix, טאטסוי בייבי
Ra.1 > L3 > Bed 134
12 of 48
Lettuce: Salad Mix, קייל בייבי
Ra.1 > L3 > Bed 134
10 of 48",חנות הגינה: 1,1,0,0,1,0.9,,kg,,Nimrod Wald,0
Thursday 29/12/2022,חציל ארוך,29/12/2022,"Eggplant, Ping Tung Long
Ra.1 > L1 > Beds 110-111
",חנות הגינה: 1,1,0,0,1,1,,kg,,Nimrod Wald,0
Thursday 29/12/2022,היביסקוס אדום,29/12/2022,"Hibiscus, Generic Variety
Ra.3 > R1 > Beds 309-310
1 of 1",חנות הגינה: 1,1,0,0,1,1,,kg,,Nimrod Wald,0
Thursday 29/12/2022,"סלרי
Full-Size",29/12/2022,"Celery, hyd. Early Bell
Hyd. S > SE > Bed 22
2 of 9",חנות הגינה: 10,10,0,0,10,8,,bn,,Nimrod Wald,0
Thursday 29/12/2022,"שומר
Full-Size",29/12/2022,"Fennel, Orion
Ra.3 > R2 > Bed 327
2 of 6",חנות הגינה: 10,10,0,0,10,17.5,,kg,,Nimrod Wald,0
Thursday 29/12/2022,"(חסה) אייסברג
Full-Size",29/12/2022,"Lettuce, hyd. אייסברג
Hyd. N > NE > Bed 5
13 of 38",חנות הגינה: 12,12,0,0,12,12,,hd,,Nimrod Wald,0
Thursday 29/12/2022,"צנונית
Full-Size",29/12/2022,"Radishes, French Breakfast
Ra.1 > L6m > Bed 103
11 of 32",חנות הגינה: 12,12,0,0,12,5,,bn,,Nimrod Wald,0
Thursday 29/12/2022,"(חסה) חמאה
Full-Size",29/12/2022,"Lettuce, hyd. פלנדריה - חמאה
Hyd. N > NE > Bed 5
14 of 38",חנות הגינה: 15,15,0,0,15,15,,hd,,Nimrod Wald,0
Thursday 29/12/2022,"מנגולד צרור
Full-Size",29/12/2022,"Chard, Fordhook Giant
Ra.1 > L6m > Beds 105-106
13 of 14
Chard, Fordhook Giant
Ra.2 > C2 > Beds 223-224
2 of 10",חנות הגינה: 15,15,0,0,15,15,,bn,,Nimrod Wald,0
Thursday 29/12/2022,"(ירק) בצל ירוק
Full-Size",29/12/2022,"Onions: Scallions, hyd. Aldorado
Hyd. N > NW > Bed 15
3 of 10
Onions: Scallions, hyd. Aldorado
Hyd. N > NW > Bed 15
2 of 10",חנות הגינה: 15,15,0,0,15,15,,bn,לסיים לפי שורות,Nimrod Wald,0
