# L05a_IDAN_seedlings_winter_18-19.xlsx
# Sheets: 1

## Sheet 'הזמנת שתילים וזרעים'  (21 rows × 12 cols)
  row1: ['', '', '', '', '', '', '', '', '', '', '', '']
  row2: ['גידול', '18/9', '2/10', '16/10', '30/10', '13/11', '27/11', '11/12', '8/1', '22/1', '5/2', '19/2']
  row3: ['בצל ירוק', 'מגש', '', 'מגש', '', 'מגש', '', 'מגש', '', 'מגש', 'מגש', '']
  row4: ['ברוקולי', 'מגש', 'מגש', '', '', 'מגש', '', 'מגש', '', 'מגש', 'מגש', '']
  row5: ['דלעת טריפולי', '', '', '', '', '', '', '', '', 'חצי מגש', '', '']
  row6: ['חסה אייסברג', '', '', '', 'מגש', '', '', 'מגש', '', '', 'מגש', '']
  row7: ['חסה ערבית', '', 'מגש', '', '', '', 'מגש', '', 'מגש', 'מגש', '', '']
  row8: ['כרוב אדום', '', 'מגש', '', 'מגש', '', 'מגש', '', '', 'מגש', '', 'מגש']
  row9: ['כרוב לבן', '', 'מגש', '', 'מגש', '', 'מגש', '', '', 'מגש', '', 'מגש']
  row10: ['כרובית', 'מגש', 'מגש', '', '', '', '80 שתילים', 'מגש', '', '', 'מגש', '']
  row11: ['כרישה', '', '', 'מגש', '', '', 'מגש', '', '', '', '', '']
  row12: ['סלק', 'מגש', '', 'מגש', '', '', '', '', '', '', '', 'מגש']
