# L05b_IDAN_seedlings_summer_18-19.xlsx
# Sheets: 1

## Sheet 'הזמנת שתילים וזרעים'  (24 rows × 14 cols)
  row1: ['', '', '', '', '', '', '', '', '', '', '', '', '', '']
  row2: ['גידול', '5.3', '22.3', '5.4', '19.4', '3.5', '17.5', '31.5', '19.6', '28.6', '12.7', '26.7', '9.8', '23.8']
  row3: ['בצל ירוק (פרדה)', '', 'מגש', '', 'מגש', '', 'מגש', '', 'מגש', '', 'מגש', '', 'מגש', '']
  row4: ['סלק כדורי', '', 'מגש', '', 'מגש', '', 'מגש', '', 'מגש', '', 'מגש', '', 'מגש', '']
  row5: ['כרישה (סופה)', '', '', '', '', 'מגש', '', 'מגש', '', 'מגש', '', '', '', '']
  row6: ['חסה ערבית (936)', '', 'מגש', '', 'מגש', 'מגש', 'מגש', 'מגש', 'מגש', 'מגש', 'מגש', 'מגש', '', 'מגש']
  row7: ['חסה אייסברג (אבירם)', 'מגש', '', 'מגש', '', '', '', '', '', '', '', '', '', 'מגש']
  row8: ['חסה מסולסלת', '', '', '', '', '', '', '', '', '', '', '', 'מגש', '']
  row9: ['מלון (ריימונד)', '', '', 'מגש', '', '', '', '', '', '', '', '', '', '']
  row10: ['מלון (הוטסאן)', 'מגש', '', '', '', '', '', '', '', '', '', '', '', '']
  row11: ['עגבניה סמדר', '', 'מגש', '', '', '', '', '', '', '', '', '', '', '']
  row12: ['עגבניה תמר (גלילאה)', '', '', '', 'מגש', '', '', '', '', '', '', '', '', '']
