Date,Planting Name,Crop,Amount,Unit,Outlet Type,Outlet Name,Harvest Stage,Final Harvest
04/01/2021,Anise Hyssop אזוב מצוי 17/07/2018 HH > A > Bed 4 4 bed m,Anise Hyssop,4.0,Bunches,Farmers Market,הדוכן יום ב,Full-Size,No
04/01/2021,Arugula Arugula 24/09/2020 Ra.3 > R2 > Bed 328 12 bed m,Arugula,1.2,Kilograms,Farmers Market,הדוכן יום ב,Baby Leaf,No
04/01/2021,Broccoli Partenon 01/10/2020 Ra.4 > Lo18 > Bed 403 18 bed m,Broccoli,6.3,Kilograms,Farmers Market,הדוכן יום ב,Head,No
04/01/2021,Cabbage סגול חישתיל 10/09/2020 Ra.4 > Lo18 > Bed 406 16 bed m,Cabbage,6.3,Kilograms,Farmers Market,הדוכן יום ב,Full-Size,No
04/01/2021,Chard Fordhook Giant 22/10/2020 Ra.1 > L2 > Bed 130 12 bed m,Chard,7.0,Bunches,Farmers Market,הדוכן יום ב,Full-Size,No
04/01/2021,Fennel Orion 30/09/2020 Ra.3 > R1 > Bed 308 12 bed m,Fennel,5.1,Kilograms,Farmers Market,הדוכן יום ב,Full-Size,No
04/01/2021,Garlic שני - מהגינה 22/10/2020 Ra.4 > Lo24 > Beds 401-402 36 bed m,Garlic,25.0,Bunches,Farmers Market,הדוכן יום ב,Bulb,No
04/01/2021,Leeks Alto 08/06/2020 Zvika > zB > Bed 519 12 bed m,Leeks,6.0,Bunches,Farmers Market,הדוכן יום ב,,No
04/01/2021,Lettuce IceBerg - לימור 12/11/2020 Ra.3 > R3 > Bed 333 12 bed m,Lettuce,12.0,Heads,Farmers Market,הדוכן יום ב,Full-Size,No
04/01/2021,Lettuce מסולסלת מעורב 02/11/2020 Ra.3 > R2 > Bed 322 12 bed m,Lettuce,12.0,Heads,Farmers Market,הדוכן יום ב,Full-Size,No
04/01/2021,Onions: Scallions Summer Time 30/09/2020 Ra.3 > R3 > Bed 331 480 plants,Onions: Scallions,20.0,Bunches,Farmers Market,הדוכן יום ב,Full-Size,No
04/01/2021,Peas Taccola gigante 01/10/2020 Zvika > zB > Beds 524-525 18 bed m,Peas,1.1,Kilograms,Farmers Market,הדוכן יום ב,Full-Size,No
04/01/2021,Peas ורדה 16/09/2020 Ra.3 > R1 > Bed 306 12 bed m,Peas,0.4,Kilograms,Farmers Market,הדוכן יום ב,Full-Size,No
04/01/2021,Radishes French Breakfast 09/12/2020 Ra.2 > C1 > Bed 213 6 bed m,Radishes,12.0,Bunches,Farmers Market,הדוכן יום ב,Full-Size,No
04/01/2021,Radishes sakora - נבטים 17/12/2020  0 ,Radishes,9.0,Cases,Farmers Market,הדוכן יום ב,Microgreen,No
04/01/2021,Turnips Generic Variety 07/10/2020 Ra.2 > C6m > Bed 205 6 bed m,Turnips,5.0,Bunches,Farmers Market,הדוכן יום ב,Full-Size,No
06/01/2021,Anise Hyssop אזוב מצוי 17/07/2018 HH > A > Bed 4 4 bed m,Anise Hyssop,3.0,Bunches,Wholesale,B2B,Full-Size,No
06/01/2021,Arugula Arugula 29/10/2020 Ra.3 > R1 > Bed 316 12 bed m,Arugula,3.4,Kilograms,Wholesale,B2B,Baby Leaf,No
06/01/2021,Carrots Nantes Half Long 24/09/2020 Ra.1 > L1 > Beds 111-112 24 bed m,Carrots,15.0,Bunches,Wholesale,B2B,Full-Size,No
06/01/2021,Leeks Alto 08/06/2020 Zvika > zB > Bed 519 12 bed m,Leeks,11.0,Bunches,Wholesale,B2B,,No
06/01/2021,Lettuce: Salad Mix Mesclun Mix 02/11/2020 Ra.3 > R2 > Bed 320 12 bed m,Lettuce: Salad Mix,3.1,Kilograms,Wholesale,B2B,Full-Size,No
06/01/2021,Lettuce: Salad Mix נטע מיקס - Luna Nera+Cavalo 02/11/2020 Ra.3 > R1 > Bed 315 12 bed m,Lettuce: Salad Mix,1.8,Kilograms,Wholesale,B2B,Full-Size,No
06/01/2021,Radishes French Breakfast 09/12/2020 Ra.2 > C1 > Bed 213 6 bed m,Radishes,2.0,Bunches,Wholesale,B2B,Full-Size,No
06/01/2021,Radishes ice candle 02/12/2020 Ra.1 > L6m > Bed 102 3 bed m,Radishes,8.0,Bunches,Wholesale,B2B,Full-Size,No
06/01/2021,Sage Common 17/07/2018 Ra.1 > L1 > Bed 109 8 bed m,Sage,3.0,Bunches,Wholesale,B2B,,No
06/01/2021,Tarragon שיבה 17/07/2018 Ra.1 > L1 > Bed 109 2 bed m,Tarragon,4.0,Bunches,Wholesale,B2B,Full-Size,No
06/01/2021,Turnips Generic Variety 07/10/2020 Ra.2 > C6m > Bed 205 6 bed m,Turnips,6.0,Bunches,Wholesale,B2B,Full-Size,No
07/01/2021,Arugula Arugula 24/09/2020 Ra.3 > R2 > Bed 328 12 bed m,Arugula,2.7,Kilograms,Farmers Market,קטיף יום ה,Baby Leaf,No
07/01/2021,Beets Forono - מוערך נטע 24/09/2020 Ra.1 > L2 > Bed 132 12 bed m,Beets,2.0,Bunches,Farmers Market,קטיף יום ה,Full-Size Root,No
07/01/2021,Beets MIX עלי ביבי 07/10/2020 Ra.2 > C6m > Bed 201 6 bed m,Beets,1.3,Kilograms,Farmers Market,קטיף יום ה,Baby Leaf Greens,No
07/01/2021,Broccoli Marathon 10/09/2020 Zvika > zB > Bed 514 12 bed m,Broccoli,0.9,Kilograms,Farmers Market,קטיף יום ה,Head,No
07/01/2021,Broccoli Partenon 01/10/2020 Ra.4 > Lo18 > Bed 403 18 bed m,Broccoli,0.9,Kilograms,Farmers Market,קטיף יום ה,Head,No
07/01/2021,Chard Bright Lights 10/09/2020 Ra.1 > L2 > Bed 129 12 bed m,Chard,2.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
07/01/2021,Chard Fordhook Giant 22/10/2020 Ra.1 > L2 > Bed 130 12 bed m,Chard,2.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
07/01/2021,Fennel Orion 24/09/2020 Ra.2 > C1 > Bed 209 12 bed m,Fennel,5.3,Kilograms,Farmers Market,קטיף יום ה,Full-Size,No
07/01/2021,Fennel Orion 30/09/2020 Ra.3 > R1 > Bed 308 12 bed m,Fennel,2.6,Kilograms,Farmers Market,קטיף יום ה,Full-Size,No
07/01/2021,Kale גומן 14/09/2020 Zvika > zB > Bed 518 12 bed m,Kale,2.0,Bunches,Farmers Market,קטיף יום ה,Full-Size,No
07/01/2021,Lettuce מסולסלת מעורב 02/11/2020 Ra.3 > R2 > Bed 322 12 bed m,Lettuce,10.0,Heads,Farmers Market,קטיף יום ה,Full-Size,No
07/01/2021,Lettuce מסולסלת מעורב 02/11/2020 Ra.3 > R2 > Bed 322 12 bed m,Lettuce,,,Wholesale,B2B,Full-Size,Yes
07/01/2021,Lettuce מסולסלת מעורב 02/11/2020 Ra.3 > R2 > Bed 322 12 bed m,Lettuce,,,Farmers Market,הדוכן יום ב,Full-Size,Yes
07/01/2021,Lettuce מסולסלת מעורב 02/11/2020 Ra.3 > R2 > Bed 322 12 bed m,Lettuce,,,,Unknown outlet,Full-Size,Yes
