Parents Crop,Variety,Year,Total Seeds Needed,Total Weight Needed,Total Seed Weight Needed Unit,Planting,Planting Seed Needed,Planting Seed Weight Needed,Planting Seed Weight Needed Unit,Planting Extra Seed Order %,Planting Seed Spec
Amaranth (Vegetable),הודי אדום,2020,2400,4.8,g,"12/4/2021,  12 bed m, Ra.3 > R2 > Bed 319",2400,4.8,g,0.0,
Artichokes,Wonder,2021,104,5.47,g,"17/11/2021,  24 bed m, HH > A > Bed 6 + 1 more Block",104,5.47,g,0.0,
Arugula,Arugula,2020,376000,182.72,g,"15/7/2021,  12 bed m, Ra.3 > R2 > Bed 320",70400,35.2,g,10.0,Organic
,,,,,,"25/3/2021,  12 bed m, Ra.3 > R1 > Bed 312",21120,10.56,g,10.0,Organic
,,,,,,"12/4/2021,  12 bed m, Ra.3 > R1 > Bed 313",21120,10.56,g,10.0,Organic
,,,,,,"9/6/2021,  12 bed m, Ra.3 > R2 > Bed 324",21120,10.56,g,10.0,Organic
,,,,,,"13/5/2021,  12 bed m, Ra.3 > R1 > Bed 314",52800,21.12,g,10.0,Organic
,,,,,,"13/1/2021,  12 bed m, Ra.3 > R1 > Bed 308",21120,10.56,g,10.0,Organic
,,,,,,"29/4/2021,  12 bed m, Ra.3 > R3 > Bed 331",21120,10.56,g,10.0,Organic
,,,,,,"13/7/2021,  12 bed m, Ra.3 > R3 > Bed 333",70400,35.2,g,20.0,Organic
,,,,,,"18/8/2021,  12 bed m, Ra.3 > R1 > Bed 315",76800,38.4,g,20.0,Organic
Arugula,Arugula,2021,601600,300.8,g,"1/9/2021,  12 bed m, Ra.3 > R2 > Bed 317",76800,38.4,g,10.0,Organic
,,,,,,"1/9/2021,  12 bed m, Ra.3 > R3 > Bed 335",76800,38.4,g,10.0,Organic
,,,,,,"30/9/2021,  12 bed m, Ra.3 > R3 > Bed 331",76800,38.4,g,10.0,Organic
,,,,,,"10/11/2021,  12 bed m, Ra.3 > R2 > Bed 319",70400,35.2,g,10.0,Organic
,,,,,,"13/12/2021,  12 bed m, Ra.3 > R3 > Bed 335",70400,35.2,g,10.0,Organic
,,,,,,"28/12/2021,  12 bed m, Ra.2 > C2 > Bed 224",76800,38.4,g,10.0,Organic
